This is the survey data taken September 15 & 16,  2003.
    Magnet        B1   -328.141 +/-    0.011   -255.236 +/-    0.002   -298.563 +/-    0.016 
    Magnet        B2   -324.639 +/-    0.011   -255.244 +/-    0.002   -302.180 +/-    0.010 
    Magnet        B4      1.338 +/-    0.007   -409.354 +/-    0.003   -302.523 +/-    0.005 
    Magnet        B5    324.531 +/-    0.004   -255.216 +/-    0.002   -302.196 +/-    0.005 
    Magnet        B6    328.297 +/-    0.005   -255.221 +/-    0.002   -298.606 +/-    0.006 
    Magnet        B7    328.245 +/-    0.004   -255.205 +/-    0.002    298.758 +/-    0.012 
    Magnet        B8    324.792 +/-    0.002   -255.203 +/-    0.001    302.138 +/-    0.006 
    Magnet        B9   -324.512 +/-    0.011   -255.261 +/-    0.002    302.138 +/-    0.011 
    Magnet       B10   -328.135 +/-    0.011   -255.254 +/-    0.002    298.630 +/-    0.013 
    Magnet   CTR_EID      0.065 +/-    0.004      0.003 +/-    0.003   -363.124 +/-    0.003 
    Magnet   CTR_WID      0.039 +/-    0.005      0.075 +/-    0.003    363.031 +/-    0.007 
    Magnet      ECL1     -0.004 +/-    0.100   -272.120 +/-    0.100   -362.317 +/-    0.100 
    Magnet      ECL2     -0.004 +/-    0.100   -305.634 +/-    0.100   -362.314 +/-    0.100 
    Magnet      ECL3     -0.210 +/-    0.100   -362.389 +/-    0.100   -362.617 +/-    0.100 
    Magnet       EF1   -291.752 +/-    0.100   -214.082 +/-    0.100   -362.587 +/-    0.100 
    Magnet       EF2   -212.582 +/-    0.100   -159.998 +/-    0.100   -362.602 +/-    0.100 
    Magnet       EF3   -264.913 +/-    0.100    -32.310 +/-    0.100   -362.569 +/-    0.100 
    Magnet       EF4   -358.616 +/-    0.100    -46.863 +/-    0.100   -362.592 +/-    0.100 
    Magnet       EF5    309.759 +/-    0.100   -185.145 +/-    0.100   -362.552 +/-    0.100 
    Magnet       EF6    226.368 +/-    0.100   -141.160 +/-    0.100   -362.569 +/-    0.100 
    Magnet       EF7    357.403 +/-    0.100    -42.039 +/-    0.100   -362.537 +/-    0.100 
    Magnet       EF8    264.378 +/-    0.100    -38.942 +/-    0.100   -362.532 +/-    0.100 
    Magnet      MCT3   -263.418 +/-    0.015     -5.033 +/-    0.005   -324.765 +/-    0.008 
    Magnet      MCT4    262.629 +/-    0.010     22.405 +/-    0.005    331.482 +/-    0.016 
    Magnet      MCT5   -263.388 +/-    0.015     -9.314 +/-    0.006    324.938 +/-    0.017 
    Magnet      MCT6    261.789 +/-    0.008     30.740 +/-    0.006   -328.963 +/-    0.011 
    Magnet     MCT10     -0.612 +/-    0.011    263.545 +/-    0.008    327.053 +/-    0.016 
    Magnet     MCT11    180.588 +/-    0.010    191.993 +/-    0.008    328.988 +/-    0.016 
    Magnet     MCT13   -256.136 +/-    0.015     69.023 +/-    0.006     12.494 +/-    0.013 
    Magnet     MCT14   -254.943 +/-    0.014     70.635 +/-    0.006    -11.661 +/-    0.012 
    Magnet     MCT15    256.356 +/-    0.008     69.295 +/-    0.006    -11.779 +/-    0.012 
    Magnet     MCT16    255.298 +/-    0.008     70.472 +/-    0.006     11.957 +/-    0.012 
    Magnet     MCT17    -14.383 +/-    0.011    264.398 +/-    0.013    -14.733 +/-    0.021 
    Magnet     MCT18   -194.321 +/-    0.013    177.951 +/-    0.009   -333.030 +/-    0.010 
    Magnet     MCT19      0.039 +/-    0.010    263.500 +/-    0.008   -330.595 +/-    0.006 
    Magnet     MCT20    175.608 +/-    0.009    196.514 +/-    0.010   -332.647 +/-    0.011 
    Magnet     MCT21   -178.159 +/-    0.014   -194.064 +/-    0.003    334.278 +/-    0.017 
    Magnet      WCL1     -0.005 +/-    0.005   -271.137 +/-    0.007    362.165 +/-    0.003 
    Magnet      WCL2      0.032 +/-    0.007   -304.588 +/-    0.002    362.188 +/-    0.005 
    Magnet      WCL3      0.672 +/-    0.007   -360.338 +/-    0.003    362.545 +/-    0.005 
    Magnet       WF1   -363.279 +/-    0.013    -33.532 +/-    0.004    362.490 +/-    0.005 
    Magnet       WF2   -271.123 +/-    0.011    -27.162 +/-    0.004    362.469 +/-    0.005 
    Magnet       WF3    358.371 +/-    0.002    -33.850 +/-    0.004    362.540 +/-    0.005 
    Magnet       WF4    274.570 +/-    0.003    -26.712 +/-    0.004    362.501 +/-    0.005 
    Magnet       WF5    148.960 +/-    0.004   -223.483 +/-    0.002    362.538 +/-    0.005 
    Magnet       WF6    229.597 +/-    0.003   -142.949 +/-    0.002    362.537 +/-    0.005 
    Magnet       WF7   -285.481 +/-    0.011   -215.816 +/-    0.002    362.524 +/-    0.004 
    Magnet       WF8   -212.157 +/-    0.003   -162.102 +/-    0.005    362.533 +/-    0.011 
    Magnet       WF9   -313.672 +/-    0.004    180.114 +/-    0.004    362.466 +/-    0.012 
    Magnet      WID1     -0.417 +/-    0.011    263.546 +/-    0.009    362.736 +/-    0.017 
    Magnet      WID2    213.368 +/-    0.007    154.764 +/-    0.007    363.051 +/-    0.017 
    Magnet      WID3    240.858 +/-    0.007   -106.934 +/-    0.003    363.113 +/-    0.017 
    Magnet      WID4    108.571 +/-    0.009   -240.048 +/-    0.002    363.133 +/-    0.017 
    Magnet      WID5   -107.315 +/-    0.012   -240.591 +/-    0.002    363.125 +/-    0.017 
    Magnet      WID6   -240.697 +/-    0.014   -107.191 +/-    0.003    363.081 +/-    0.017 
    Magnet      WID7   -213.160 +/-    0.014    154.965 +/-    0.007    363.062 +/-    0.017 
       Tpc     EAO13    -27.465 +/-    0.003     47.066 +/-    0.002   -231.703 +/-    0.004 
       Tpc     EAO14    -47.431 +/-    0.003     27.091 +/-    0.002   -231.705 +/-    0.004 
