#  FGT mapping, timeStamp date=20120127  time=174050
# electId,geoID,   RDO(1;2),ARM(0-4),APV(0-9;12-21),chan(0-127),    disk(1-6),quad(A-D),layer(P;R),strip(P:0-719;R0-279+400-679),   ordinate(rad;cm),lowSpan(cm;rad),upSpan(cm;rad), geoName,  stat,ped(ADC),sigPed(ADC)
2825,6659,  1,1,2,9,  2,A,P,179,   1.1635,19.125,38.250,  2AP179,   0,186.0,36.9
2826,5882,  1,1,2,10,  2,A,R,122,   26.5207,0.787,1.526,  2AR122,   0,138.0,45.8
2827,6655,  1,1,2,11,  2,A,P,175,   1.1719,19.125,38.250,  2AP175,   0,174.0,37.0
2828,5885,  1,1,2,12,  2,A,R,125,   26.2346,0.787,1.525,  2AR125,   0,162.0,18.7
2829,6651,  1,1,2,13,  2,A,P,171,   1.1802,19.125,38.250,  2AP171,   0,186.0,35.0
2830,5887,  1,1,2,14,  2,A,R,127,   26.0438,0.787,1.525,  2AR127,   0,162.0,18.2
2831,6677,  1,1,2,15,  2,A,P,197,   1.1258,19.125,38.250,  2AP197,   0,198.0,36.8
2832,5870,  1,1,2,16,  2,A,R,110,   27.6653,0.787,1.527,  2AR110,   0,210.0,39.6
2833,6681,  1,1,2,17,  2,A,P,201,   1.1174,19.125,38.250,  2AP201,   0,198.0,38.3
2834,5871,  1,1,2,18,  2,A,R,111,   27.5699,0.787,1.527,  2AR111,   0,138.0,10.2
2835,6673,  1,1,2,19,  2,A,P,193,   1.1342,19.125,38.250,  2AP193,   0,174.0,35.4
2836,5891,  1,1,2,20,  2,A,R,131,   25.6623,0.787,1.524,  2AR131,   0,198.0,16.7
2837,6669,  1,1,2,21,  2,A,P,189,   1.1425,19.125,38.250,  2AP189,   0,186.0,33.8
2838,5877,  1,1,2,22,  2,A,R,117,   26.9976,0.787,1.526,  2AR117,   0,162.0,39.6
2839,6665,  1,1,2,23,  2,A,P,185,   1.1509,19.125,38.250,  2AP185,   0,186.0,33.5
2840,5889,  1,1,2,24,  2,A,R,129,   25.8530,0.787,1.524,  2AR129,   0,198.0,16.9
2841,6685,  1,1,2,25,  2,A,P,205,   1.1090,19.125,38.250,  2AP205,   0,198.0,34.5
2842,5888,  1,1,2,26,  2,A,R,128,   25.9484,0.787,1.525,  2AR128,   0,186.0,36.4
2843,6683,  1,1,2,27,  2,A,P,203,   1.1132,19.125,38.250,  2AP203,   0,210.0,33.0
2844,5890,  1,1,2,28,  2,A,R,130,   25.7577,0.787,1.524,  2AR130,   0,222.0,34.4
2845,6661,  1,1,2,29,  2,A,P,181,   1.1593,19.125,38.250,  2AP181,   0,198.0,28.9
2846,5892,  1,1,2,30,  2,A,R,132,   25.5669,0.787,1.524,  2AR132,   0,222.0,32.9
2847,6679,  1,1,2,31,  2,A,P,199,   1.1216,19.125,38.250,  2AP199,   0,210.0,32.7
2848,5893,  1,1,2,32,  2,A,R,133,   25.4715,0.787,1.524,  2AR133,   0,246.0,19.2
2849,6689,  1,1,2,33,  2,A,P,209,   1.1006,19.125,38.250,  2AP209,   0,234.0,32.6
2850,6653,  1,1,2,34,  2,A,P,173,   1.1760,19.125,38.250,  2AP173,   0,210.0,32.7
2851,6675,  1,1,2,35,  2,A,P,195,   1.1300,19.125,38.250,  2AP195,   0,222.0,31.3
2852,5881,  1,1,2,36,  2,A,R,121,   26.6161,0.787,1.526,  2AR121,   0,186.0,39.2
2853,6671,  1,1,2,37,  2,A,P,191,   1.1384,19.125,38.250,  2AP191,   0,210.0,29.7
2854,5894,  1,1,2,38,  2,A,R,134,   25.3761,0.787,1.524,  2AR134,   0,246.0,32.5
2855,6687,  1,1,2,39,  2,A,P,207,   1.1048,19.125,38.250,  2AP207,   0,246.0,34.1
2856,5895,  1,1,2,40,  2,A,R,135,   25.2808,0.787,1.523,  2AR135,   0,222.0,19.7
2857,6693,  1,1,2,41,  2,A,P,213,   1.0923,19.125,38.250,  2AP213,   0,246.0,31.2
2858,5880,  1,1,2,42,  2,A,R,120,   26.7115,0.787,1.526,  2AR120,   0,222.0,29.0
2859,6667,  1,1,2,43,  2,A,P,187,   1.1467,19.125,38.250,  2AP187,   0,222.0,30.2
2860,6649,  1,1,2,44,  2,A,P,169,   1.1844,19.125,38.250,  2AP169,   0,234.0,26.8
2861,6663,  1,1,2,45,  2,A,P,183,   1.1551,19.125,38.250,  2AP183,   0,234.0,29.3
2862,5896,  1,1,2,46,  2,A,R,136,   25.1854,0.787,1.523,  2AR136,   0,246.0,31.5
2863,6691,  1,1,2,47,  2,A,P,211,   1.0964,19.125,38.250,  2AP211,   0,246.0,27.8
2864,5897,  1,1,2,48,  2,A,R,137,   25.0900,0.787,1.523,  2AR137,   0,258.0,19.8
2865,6697,  1,1,2,49,  2,A,P,217,   1.0839,19.125,38.250,  2AP217,   0,258.0,31.7
2866,5866,  1,1,2,50,  2,A,R,106,   28.0468,0.787,1.528,  2AR106,   0,222.0,32.4
2867,6657,  1,1,2,51,  2,A,P,177,   1.1677,19.125,38.250,  2AP177,   0,222.0,26.9
2868,5869,  1,1,2,52,  2,A,R,109,   27.7606,0.787,1.528,  2AR109,   0,222.0,28.8
2869,5886,  1,1,2,53,  2,A,R,126,   26.1392,0.787,1.525,  2AR126,   0,222.0,31.5
2870,5872,  1,1,2,54,  2,A,R,112,   27.4745,0.787,1.527,  2AR112,   0,246.0,30.7
2871,6695,  1,1,2,55,  2,A,P,215,   1.0881,19.125,38.250,  2AP215,   0,258.0,31.8
2872,5875,  1,1,2,56,  2,A,R,115,   27.1884,0.787,1.527,  2AR115,   0,246.0,26.5
2873,5884,  1,1,2,57,  2,A,R,124,   26.3299,0.787,1.525,  2AR124,   0,222.0,29.8
2874,5874,  1,1,2,58,  2,A,R,114,   27.2837,0.787,1.527,  2AR114,   0,246.0,27.2
2875,5868,  1,1,2,59,  2,A,R,108,   27.8560,0.787,1.528,  2AR108,   0,210.0,28.2
2876,5873,  1,1,2,60,  2,A,R,113,   27.3791,0.787,1.527,  2AR113,   0,246.0,30.2
2877,5867,  1,1,2,61,  2,A,R,107,   27.9514,0.787,1.528,  2AR107,   0,270.0,30.6
2878,5898,  1,1,2,62,  2,A,R,138,   24.9946,0.787,1.523,  2AR138,   0,270.0,20.3
2879,6699,  1,1,2,63,  2,A,P,219,   1.0797,19.125,38.250,  2AP219,   0,270.0,30.8
2880,5899,  1,1,2,64,  2,A,R,139,   24.8992,0.787,1.523,  2AR139,   0,294.0,15.5
2881,6763,  1,1,2,65,  2,A,P,283,   0.9456,19.125,38.250,  2AP283,   0,318.0,37.0
2882,5924,  1,1,2,66,  2,A,R,164,   22.5147,0.787,1.518,  2AR164,   0,282.0,29.2
2883,6701,  1,1,2,67,  2,A,P,221,   1.0755,19.125,38.250,  2AP221,   0,282.0,31.0
2884,5925,  1,1,2,68,  2,A,R,165,   22.4194,0.787,1.517,  2AR165,   0,318.0,35.2
2885,6703,  1,1,2,69,  2,A,P,223,   1.0713,19.125,38.250,  2AP223,   0,270.0,31.4
2886,5900,  1,1,2,70,  2,A,R,140,   24.8039,0.787,1.522,  2AR140,   0,294.0,31.3
2887,6751,  1,1,2,71,  2,A,P,271,   0.9708,19.125,38.250,  2AP271,   0,318.0,52.3
2888,5901,  1,1,2,72,  2,A,R,141,   24.7085,0.787,1.522,  2AR141,   0,294.0,20.5
2889,6705,  1,1,2,73,  2,A,P,225,   1.0671,19.125,38.250,  2AP225,   0,294.0,31.7
2890,5927,  1,1,2,74,  2,A,R,167,   22.2286,0.787,1.517,  2AR167,   0,282.0,16.1
2891,6747,  1,1,2,75,  2,A,P,267,   0.9792,19.125,38.250,  2AP267,   0,282.0,35.2
2892,5926,  1,1,2,76,  2,A,R,166,   22.3240,0.787,1.517,  2AR166,   0,282.0,32.2
2893,6707,  1,1,2,77,  2,A,P,227,   1.0629,19.125,38.250,  2AP227,   0,294.0,32.5
2894,5902,  1,1,2,78,  2,A,R,142,   24.6131,0.787,1.522,  2AR142,   0,294.0,26.3
2895,5915,  1,1,2,79,  2,A,R,155,   23.3732,0.787,1.520,  2AR155,   0,270.0,15.2
2896,5903,  1,1,2,80,  2,A,R,143,   24.5177,0.787,1.522,  2AR143,   0,294.0,15.8
2897,6709,  1,1,2,81,  2,A,P,229,   1.0588,19.125,38.250,  2AP229,   0,294.0,31.4
2898,6765,  1,1,2,82,  2,A,P,285,   0.9414,19.125,38.250,  2AP285,   0,282.0,36.9
2899,6743,  1,1,2,83,  2,A,P,263,   0.9875,19.125,38.250,  2AP263,   0,306.0,34.5
2900,6759,  1,1,2,84,  2,A,P,279,   0.9540,19.125,38.250,  2AP279,   0,294.0,37.6
2901,6711,  1,1,2,85,  2,A,P,231,   1.0546,19.125,38.250,  2AP231,   0,294.0,33.0
2902,5904,  1,1,2,86,  2,A,R,144,   24.4223,0.787,1.522,  2AR144,   0,318.0,27.1
2903,6735,  1,1,2,87,  2,A,P,255,   1.0043,19.125,38.250,  2AP255,   0,282.0,33.6
2904,5905,  1,1,2,88,  2,A,R,145,   24.3270,0.787,1.522,  2AR145,   0,282.0,16.1
2905,6715,  1,1,2,89,  2,A,P,235,   1.0462,19.125,38.250,  2AP235,   0,282.0,40.5
2906,5917,  1,1,2,90,  2,A,R,157,   23.1824,0.787,1.519,  2AR157,   0,282.0,15.8
2907,6713,  1,1,2,91,  2,A,P,233,   1.0504,19.125,38.250,  2AP233,   0,318.0,35.3
2908,5906,  1,1,2,92,  2,A,R,146,   24.2316,0.787,1.521,  2AR146,   0,330.0,33.5
2909,6731,  1,1,2,93,  2,A,P,251,   1.0127,19.125,38.250,  2AP251,   0,270.0,32.8
2910,5907,  1,1,2,94,  2,A,R,147,   24.1362,0.787,1.521,  2AR147,   0,294.0,16.0
2911,6727,  1,1,2,95,  2,A,P,247,   1.0210,19.125,38.250,  2AP247,   0,306.0,34.5
2912,5922,  1,1,2,96,  2,A,R,162,   22.7055,0.787,1.518,  2AR162,   0,318.0,35.9
2913,6719,  1,1,2,97,  2,A,P,239,   1.0378,19.125,38.250,  2AP239,   0,282.0,31.9
2914,5923,  1,1,2,98,  2,A,R,163,   22.6101,0.787,1.518,  2AR163,   0,270.0,18.7
2915,6717,  1,1,2,99,  2,A,P,237,   1.0420,19.125,38.250,  2AP237,   0,306.0,32.4
2916,5920,  1,1,2,100,  2,A,R,160,   22.8963,0.787,1.518,  2AR160,   0,318.0,32.2
2917,6723,  1,1,2,101,  2,A,P,243,   1.0294,19.125,38.250,  2AP243,   0,294.0,31.4
2918,5908,  1,1,2,102,  2,A,R,148,   24.0408,0.787,1.521,  2AR148,   0,282.0,29.7
2919,6739,  1,1,2,103,  2,A,P,259,   0.9959,19.125,38.250,  2AP259,   0,294.0,33.9
2920,5909,  1,1,2,104,  2,A,R,149,   23.9454,0.787,1.521,  2AR149,   0,294.0,20.5
2921,6721,  1,1,2,105,  2,A,P,241,   1.0336,19.125,38.250,  2AP241,   0,282.0,33.0
2922,5910,  1,1,2,106,  2,A,R,150,   23.8501,0.787,1.521,  2AR150,   0,294.0,31.7
2923,6737,  1,1,2,107,  2,A,P,257,   1.0001,19.125,38.250,  2AP257,   0,306.0,33.8
2924,5921,  1,1,2,108,  2,A,R,161,   22.8009,0.787,1.518,  2AR161,   0,294.0,20.5
2925,6733,  1,1,2,109,  2,A,P,253,   1.0085,19.125,38.250,  2AP253,   0,294.0,35.3
2926,5911,  1,1,2,110,  2,A,R,151,   23.7547,0.787,1.520,  2AR151,   0,306.0,19.6
2927,6729,  1,1,2,111,  2,A,P,249,   1.0169,19.125,38.250,  2AP249,   0,270.0,34.3
2928,5918,  1,1,2,112,  2,A,R,158,   23.0870,0.787,1.519,  2AR158,   0,330.0,36.3
2929,6725,  1,1,2,113,  2,A,P,245,   1.0252,19.125,38.250,  2AP245,   0,306.0,35.1
2930,5919,  1,1,2,114,  2,A,R,159,   22.9916,0.787,1.519,  2AR159,   0,282.0,12.5
2931,6749,  1,1,2,115,  2,A,P,269,   0.9750,19.125,38.250,  2AP269,   0,330.0,38.8
2932,5912,  1,1,2,116,  2,A,R,152,   23.6593,0.787,1.520,  2AR152,   0,330.0,38.8
2933,6745,  1,1,2,117,  2,A,P,265,   0.9833,19.125,38.250,  2AP265,   0,270.0,36.1
2934,5913,  1,1,2,118,  2,A,R,153,   23.5639,0.787,1.520,  2AR153,   0,306.0,17.5
2935,6741,  1,1,2,119,  2,A,P,261,   0.9917,19.125,38.250,  2AP261,   0,282.0,37.6
2936,5916,  1,1,2,120,  2,A,R,156,   23.2778,0.787,1.519,  2AR156,   0,330.0,35.5
2937,6753,  1,1,2,121,  2,A,P,273,   0.9666,19.125,38.250,  2AP273,   0,330.0,38.1
2938,5914,  1,1,2,122,  2,A,R,154,   23.4685,0.787,1.520,  2AR154,   0,318.0,37.1
2939,6755,  1,1,2,123,  2,A,P,275,   0.9624,19.125,38.250,  2AP275,   0,354.0,38.6
2940,5928,  1,1,2,124,  2,A,R,168,   22.1332,0.787,1.517,  2AR168,   0,342.0,37.6
2941,6757,  1,1,2,125,  2,A,P,277,   0.9582,19.125,38.250,  2AP277,   0,354.0,37.4
2942,5929,  1,1,2,126,  2,A,R,169,   22.0378,0.787,1.516,  2AR169,   0,354.0,38.9
2943,6761,  1,1,2,127,  2,A,P,281,   0.9498,19.125,38.250,  2AP281,   0,510.0,33.9
2944,5940,  1,1,3,0,  2,A,R,180,   20.9887,0.787,1.514,  2AR180,   0,126.0,13.0
2945,6767,  1,1,3,1,  2,A,P,287,   0.9373,19.125,38.250,  2AP287,   0,138.0,13.6
2946,5942,  1,1,3,2,  2,A,R,182,   20.7979,0.787,1.513,  2AR182,   0,126.0,11.1
2947,6773,  1,1,3,3,  2,A,P,293,   0.9247,19.125,38.250,  2AP293,   0,126.0,13.0
2948,6803,  1,1,3,4,  2,A,P,323,   0.8619,19.125,37.777,  2AP323,   0,126.0,10.1
2949,6771,  1,1,3,5,  2,A,P,291,   0.9289,19.125,38.250,  2AP291,   0,126.0,15.6
2950,6769,  1,1,3,6,  2,A,P,289,   0.9331,19.125,38.250,  2AP289,   6,126.0,9.2
2951,6775,  1,1,3,7,  2,A,P,295,   0.9205,19.125,38.250,  2AP295,   0,138.0,11.8
2952,6793,  1,1,3,8,  2,A,P,313,   0.8828,19.125,38.050,  2AP313,   0,138.0,13.6
2953,6787,  1,1,3,9,  2,A,P,307,   0.8954,19.125,38.224,  2AP307,   0,126.0,14.4
2954,6801,  1,1,3,10,  2,A,P,321,   0.8660,19.125,37.830,  2AP321,   0,126.0,15.1
2955,6783,  1,1,3,11,  2,A,P,303,   0.9037,19.125,38.250,  2AP303,   0,138.0,15.8
2956,6809,  1,1,3,12,  2,A,P,329,   0.8493,19.125,37.623,  2AP329,   0,126.0,10.2
2957,6779,  1,1,3,13,  2,A,P,299,   0.9121,19.125,38.250,  2AP299,   0,126.0,16.8
2958,5948,  1,1,3,14,  2,A,R,188,   20.2256,0.787,1.512,  2AR188,   0,138.0,15.3
2959,5947,  1,1,3,15,  2,A,R,187,   20.3210,0.787,1.512,  2AR187,   0,138.0,10.3
2960,5934,  1,1,3,16,  2,A,R,174,   21.5609,0.787,1.515,  2AR174,   0,138.0,10.6
2961,6815,  1,1,3,17,  2,A,P,335,   0.8367,19.125,37.476,  2AP335,   0,126.0,11.7
2962,5935,  1,1,3,18,  2,A,R,175,   21.4656,0.787,1.515,  2AR175,   2,126.0,9.5
2963,6805,  1,1,3,19,  2,A,P,325,   0.8577,19.125,37.725,  2AP325,   0,126.0,17.1
2964,5951,  1,1,3,20,  2,A,R,191,   19.9395,0.787,1.511,  2AR191,   0,138.0,22.9
2965,6799,  1,1,3,21,  2,A,P,319,   0.8702,19.125,37.884,  2AP319,   0,138.0,22.7
2966,5941,  1,1,3,22,  2,A,R,181,   20.8933,0.787,1.513,  2AR181,   2,126.0,9.3
2967,5943,  1,1,3,23,  2,A,R,183,   20.7025,0.787,1.513,  2AR183,   0,138.0,16.7
2968,6819,  1,1,3,24,  2,A,P,339,   0.8283,19.125,37.382,  2AP339,   0,138.0,16.3
2969,6821,  1,1,3,25,  2,A,P,341,   0.8241,19.125,37.336,  2AP341,   0,138.0,15.7
2970,6817,  1,1,3,26,  2,A,P,337,   0.8325,19.125,37.429,  2AP337,   0,138.0,19.7
2971,5949,  1,1,3,27,  2,A,R,189,   20.1302,0.787,1.511,  2AR189,   0,138.0,26.1
2972,5950,  1,1,3,28,  2,A,R,190,   20.0349,0.787,1.511,  2AR190,   0,138.0,18.1
2973,6789,  1,1,3,29,  2,A,P,309,   0.8912,19.125,38.166,  2AP309,   0,138.0,20.9
2974,5952,  1,1,3,30,  2,A,R,192,   19.8441,0.787,1.510,  2AR192,   0,138.0,19.9
2975,6813,  1,1,3,31,  2,A,P,333,   0.8409,19.125,37.524,  2AP333,   4,138.0,21.0
2976,5953,  1,1,3,32,  2,A,R,193,   19.7487,0.787,1.510,  2AR193,   4,162.0,25.3
2977,6825,  1,1,3,33,  2,A,P,345,   0.8158,19.125,37.247,  2AP345,   0,150.0,22.0
2978,6781,  1,1,3,34,  2,A,P,301,   0.9079,19.125,38.250,  2AP301,   0,150.0,14.9
2979,6807,  1,1,3,35,  2,A,P,327,   0.8535,19.125,37.674,  2AP327,   0,150.0,18.1
2980,5944,  1,1,3,36,  2,A,R,184,   20.6071,0.787,1.513,  2AR184,   0,150.0,13.6
2981,5945,  1,1,3,37,  2,A,R,185,   20.5118,0.787,1.512,  2AR185,   0,150.0,25.2
2982,5954,  1,1,3,38,  2,A,R,194,   19.6533,0.787,1.510,  2AR194,   4,162.0,25.0
2983,6823,  1,1,3,39,  2,A,P,343,   0.8200,19.125,37.291,  2AP343,   0,198.0,33.9
2984,5955,  1,1,3,40,  2,A,R,195,   19.5580,0.787,1.510,  2AR195,   0,162.0,25.0
2985,6829,  1,1,3,41,  2,A,P,349,   0.8074,19.125,37.160,  2AP349,   0,150.0,21.9
2986,6795,  1,1,3,42,  2,A,P,315,   0.8786,19.125,37.994,  2AP315,   0,150.0,19.5
2987,6797,  1,1,3,43,  2,A,P,317,   0.8744,19.125,37.939,  2AP317,   0,198.0,27.8
2988,6777,  1,1,3,44,  2,A,P,297,   0.9163,19.125,38.250,  2AP297,   0,162.0,20.4
2989,6791,  1,1,3,45,  2,A,P,311,   0.8870,19.125,38.108,  2AP311,   4,138.0,26.4
2990,5956,  1,1,3,46,  2,A,R,196,   19.4626,0.787,1.509,  2AR196,   0,186.0,26.8
2991,6827,  1,1,3,47,  2,A,P,347,   0.8116,19.125,37.203,  2AP347,   0,198.0,26.0
2992,5957,  1,1,3,48,  2,A,R,197,   19.3672,0.787,1.509,  2AR197,   0,198.0,24.5
2993,6833,  1,1,3,49,  2,A,P,353,   0.7990,19.125,37.077,  2AP353,   0,150.0,23.6
2994,5930,  1,1,3,50,  2,A,R,170,   21.9425,0.787,1.516,  2AR170,   0,150.0,19.3
2995,6785,  1,1,3,51,  2,A,P,305,   0.8996,19.125,38.250,  2AP305,   0,150.0,18.3
2996,5933,  1,1,3,52,  2,A,R,173,   21.6563,0.787,1.515,  2AR173,   0,198.0,26.8
2997,6811,  1,1,3,53,  2,A,P,331,   0.8451,19.125,37.573,  2AP331,   0,198.0,27.1
2998,5936,  1,1,3,54,  2,A,R,176,   21.3702,0.787,1.515,  2AR176,   4,150.0,25.0
2999,6831,  1,1,3,55,  2,A,P,351,   0.8032,19.125,37.118,  2AP351,   0,210.0,26.7
3000,5939,  1,1,3,56,  2,A,R,179,   21.0840,0.787,1.514,  2AR179,   4,150.0,25.2
3001,5946,  1,1,3,57,  2,A,R,186,   20.4164,0.787,1.512,  2AR186,   0,210.0,24.4
3002,5938,  1,1,3,58,  2,A,R,178,   21.1794,0.787,1.514,  2AR178,   0,210.0,26.0
3003,5932,  1,1,3,59,  2,A,R,172,   21.7517,0.787,1.516,  2AR172,   0,198.0,26.6
3004,5937,  1,1,3,60,  2,A,R,177,   21.2748,0.787,1.514,  2AR177,   0,210.0,25.1
3005,5931,  1,1,3,61,  2,A,R,171,   21.8471,0.787,1.516,  2AR171,   0,198.0,28.0
3006,5958,  1,1,3,62,  2,A,R,198,   19.2718,0.787,1.509,  2AR198,   0,234.0,25.0
3007,6835,  1,1,3,63,  2,A,P,355,   0.7948,19.125,37.036,  2AP355,   0,234.0,24.4
3008,5959,  1,1,3,64,  2,A,R,199,   19.1764,0.787,1.508,  2AR199,   0,258.0,23.1
3009,6688,  1,1,3,65,  2,A,P,208,   1.1027,11.500,38.250,  2AP208,   0,246.0,32.2
3010,5980,  1,1,3,66,  2,A,R,220,   17.1660,0.787,1.501,  2AR220,   0,282.0,19.5
3011,6837,  1,1,3,67,  2,A,P,357,   0.7906,19.125,36.996,  2AP357,   0,258.0,26.3
3012,5981,  1,1,3,68,  2,A,R,221,   17.0706,0.787,1.501,  2AR221,   0,270.0,21.4
3013,6839,  1,1,3,69,  2,A,P,359,   0.7864,19.125,36.957,  2AP359,   0,246.0,26.4
3014,5960,  1,1,3,70,  2,A,R,200,   19.0736,0.787,1.508,  2AR200,   0,294.0,21.4
3015,6676,  1,1,3,71,  2,A,P,196,   1.1279,11.500,38.250,  2AP196,   0,234.0,31.6
3016,6626,  1,1,3,72,  2,A,P,146,   1.2326,11.500,38.250,  2AP146,   0,258.0,27.2
3017,6622,  1,1,3,73,  2,A,P,142,   1.2410,11.500,38.250,  2AP142,   0,234.0,26.8
3018,5983,  1,1,3,74,  2,A,R,223,   16.8798,0.787,1.500,  2AR223,   0,282.0,22.5
3019,6672,  1,1,3,75,  2,A,P,192,   1.1363,11.500,38.250,  2AP192,   0,258.0,29.0
3020,5982,  1,1,3,76,  2,A,R,222,   16.9752,0.787,1.500,  2AR222,   0,306.0,21.9
3021,6624,  1,1,3,77,  2,A,P,144,   1.2368,11.500,38.250,  2AP144,   0,234.0,29.0
3022,6628,  1,1,3,78,  2,A,P,148,   1.2284,11.500,38.250,  2AP148,   0,234.0,30.5
3023,5971,  1,1,3,79,  2,A,R,211,   18.0244,0.787,1.504,  2AR211,   0,258.0,19.7
3024,5962,  1,1,3,80,  2,A,R,202,   18.8828,0.787,1.507,  2AR202,   0,258.0,20.9
3025,5961,  1,1,3,81,  2,A,R,201,   18.9782,0.787,1.508,  2AR201,   0,282.0,19.6
3026,6690,  1,1,3,82,  2,A,P,210,   1.0985,11.500,38.250,  2AP210,   0,282.0,33.6
3027,6668,  1,1,3,83,  2,A,P,188,   1.1446,11.500,38.250,  2AP188,   0,282.0,29.5
3028,6684,  1,1,3,84,  2,A,P,204,   1.1111,11.500,38.250,  2AP204,   0,282.0,29.8
3029,6630,  1,1,3,85,  2,A,P,150,   1.2242,11.500,38.250,  2AP150,   0,258.0,29.5
3030,6634,  1,1,3,86,  2,A,P,154,   1.2159,11.500,38.250,  2AP154,   0,282.0,28.3
3031,6660,  1,1,3,87,  2,A,P,180,   1.1614,11.500,38.250,  2AP180,   0,270.0,30.3
3032,6636,  1,1,3,88,  2,A,P,156,   1.2117,11.500,38.250,  2AP156,   0,270.0,28.7
3033,5963,  1,1,3,89,  2,A,R,203,   18.7874,0.787,1.507,  2AR203,   0,282.0,21.1
3034,5973,  1,1,3,90,  2,A,R,213,   17.8336,0.787,1.504,  2AR213,   0,306.0,20.5
3035,6632,  1,1,3,91,  2,A,P,152,   1.2200,11.500,38.250,  2AP152,   0,282.0,30.9
3036,5964,  1,1,3,92,  2,A,R,204,   18.6920,0.787,1.507,  2AR204,   0,306.0,21.4
3037,6656,  1,1,3,93,  2,A,P,176,   1.1698,11.500,38.250,  2AP176,   0,306.0,31.5
3038,6642,  1,1,3,94,  2,A,P,162,   1.1991,11.500,38.250,  2AP162,   0,270.0,29.4
3039,5967,  1,1,3,95,  2,A,R,207,   18.4059,0.787,1.506,  2AR207,   0,318.0,21.8
3040,5978,  1,1,3,96,  2,A,R,218,   17.3567,0.787,1.502,  2AR218,   0,282.0,20.5
3041,6640,  1,1,3,97,  2,A,P,160,   1.2033,11.500,38.250,  2AP160,   0,222.0,28.7
3042,5979,  1,1,3,98,  2,A,R,219,   17.2613,0.787,1.501,  2AR219,   0,282.0,19.7
3043,6638,  1,1,3,99,  2,A,P,158,   1.2075,11.500,38.250,  2AP158,   0,222.0,28.3
3044,5976,  1,1,3,100,  2,A,R,216,   17.5475,0.787,1.503,  2AR216,   0,258.0,20.1
3045,6646,  1,1,3,101,  2,A,P,166,   1.1907,11.500,38.250,  2AP166,   0,234.0,28.6
3046,6644,  1,1,3,102,  2,A,P,164,   1.1949,11.500,38.250,  2AP164,   0,258.0,28.6
3047,6664,  1,1,3,103,  2,A,P,184,   1.1530,11.500,38.250,  2AP184,   0,270.0,29.0
3048,5966,  1,1,3,104,  2,A,R,206,   18.5013,0.787,1.506,  2AR206,   0,294.0,20.7
3049,5965,  1,1,3,105,  2,A,R,205,   18.5967,0.787,1.506,  2AR205,   0,258.0,20.1
3050,6650,  1,1,3,106,  2,A,P,170,   1.1823,11.500,38.250,  2AP170,   0,246.0,30.5
3051,6662,  1,1,3,107,  2,A,P,182,   1.1572,11.500,38.250,  2AP182,   0,270.0,29.8
3052,5977,  1,1,3,108,  2,A,R,217,   17.4521,0.787,1.502,  2AR217,   0,306.0,20.7
3053,6658,  1,1,3,109,  2,A,P,178,   1.1656,11.500,38.250,  2AP178,   0,282.0,30.2
3054,6652,  1,1,3,110,  2,A,P,172,   1.1781,11.500,38.250,  2AP172,   0,258.0,31.3
3055,6654,  1,1,3,111,  2,A,P,174,   1.1739,11.500,38.250,  2AP174,   0,282.0,30.4
3056,5974,  1,1,3,112,  2,A,R,214,   17.7382,0.787,1.503,  2AR214,   0,306.0,21.4
3057,6648,  1,1,3,113,  2,A,P,168,   1.1865,11.500,38.250,  2AP168,   0,270.0,17.7
3058,5975,  1,1,3,114,  2,A,R,215,   17.6429,0.787,1.503,  2AR215,   0,306.0,20.6
3059,6674,  1,1,3,115,  2,A,P,194,   1.1321,11.500,38.250,  2AP194,   0,306.0,32.7
3060,5968,  1,1,3,116,  2,A,R,208,   18.3105,0.787,1.505,  2AR208,   0,318.0,22.4
3061,6670,  1,1,3,117,  2,A,P,190,   1.1404,11.500,38.250,  2AP190,   0,306.0,32.6
3062,5969,  1,1,3,118,  2,A,R,209,   18.2151,0.787,1.505,  2AR209,   0,294.0,21.4
3063,6666,  1,1,3,119,  2,A,P,186,   1.1488,11.500,38.250,  2AP186,   0,294.0,34.9
3064,5972,  1,1,3,120,  2,A,R,212,   17.9290,0.787,1.504,  2AR212,   0,330.0,22.5
3065,6678,  1,1,3,121,  2,A,P,198,   1.1237,11.500,38.250,  2AP198,   0,306.0,36.3
3066,5970,  1,1,3,122,  2,A,R,210,   18.1198,0.787,1.505,  2AR210,   0,306.0,22.1
3067,6680,  1,1,3,123,  2,A,P,200,   1.1195,11.500,38.250,  2AP200,   0,330.0,36.7
3068,5984,  1,1,3,124,  2,A,R,224,   16.7844,0.787,1.499,  2AR224,   0,354.0,23.1
3069,6682,  1,1,3,125,  2,A,P,202,   1.1153,11.500,38.250,  2AP202,   0,330.0,36.1
3070,5985,  1,1,3,126,  2,A,R,225,   16.6891,0.787,1.499,  2AR225,   0,342.0,26.0
3071,6686,  1,1,3,127,  2,A,P,206,   1.1069,11.500,38.250,  2AP206,   0,534.0,39.1
3072,5993,  1,1,4,0,  2,A,R,233,   15.9260,0.787,1.496,  2AR233,   0,186.0,27.4
3073,6692,  1,1,4,1,  2,A,P,212,   1.0944,11.500,38.250,  2AP212,   4,102.0,25.0
3074,6722,  1,1,4,2,  2,A,P,242,   1.0315,11.500,38.250,  2AP242,   0,198.0,38.9
3075,6700,  1,1,4,3,  2,A,P,220,   1.0776,11.500,38.250,  2AP220,   0,174.0,39.5
