0	1	1	1	50	N			0	0	0	0	A	1	BNC
1	1	1	2	50	N			0	0	0	1	A	2	BNC
2	1	1	3	50	N			0	0	0	2	A	3	BNC
3	1	1	4	50	N			0	0	0	3	A	4	BNC
4	1	1	5	50	N			0	0	0	4	A	5	BNC
5	1	1	6	50	N			0	0	0	5	A	6	BNC
6	1	1	7	50	N			0	0	0	6	A	7	BNC
7	1	1	8	50	N			0	0	0	7	A	8	BNC
8	1	1	9	50	N			0	0	0	8	B	1	BNC
9	1	1	10	50	N			0	0	0	9	B	2	BNC
10	1	1	11	50	N			0	0	0	10	B	3	BNC
11	1	1	12	50	N			0	0	0	11	B	4	BNC
12	1	1	13	50	W			0	0	0	12	B	5	BNC
13	1	1	14	50	W			0	0	0	13	B	6	BNC
14	1	1	15	50	W			0	0	0	14	B	7	BNC
15	1	1	16	50	W			0	0	0	15	B	8	BNC
16	1	1	17	50	W			0	0	0	16	C	1	BNC
17	1	1	18	50	W			0	0	0	17	C	2	BNC
18	1	1	19	50	W			0	0	0	18	C	3	BNC
19	1	1	20	50	W			0	0	0	19	C	4	BNC
20	1	1	21	50	W			0	0	0	20	C	5	BNC
63	2	1	1	50	N			0	1	0	21	C	6	BNC
64	2	1	2	50	N			0	1	0	22	C	7	BNC
65	2	1	3	50	N			0	1	0	23	C	8	BNC
66	2	1	4	50	N			0	1	0	24	D	1	BNC
67	2	1	5	50	N			0	1	0	25	D	2	BNC
68	2	1	6	50	N			0	1	0	26	D	3	BNC
69	2	1	7	50	N			0	1	0	27	D	4	BNC
70	2	1	8	50	N			0	1	0	28	D	5	BNC
71	2	1	9	50	N			0	1	0	29	D	6	BNC
72	2	1	10	50	N			0	1	0	30	D	7	BNC
73	2	1	11	50	W			0	1	0	31	D	8	BNC
74	2	1	12	50	W			0	1	1	0	A	1	BNC
75	2	1	13	50	W			0	1	1	1	A	2	BNC
76	2	1	14	50	W			0	1	1	2	A	3	BNC
77	2	1	15	50	W			0	1	1	3	A	4	BNC
78	2	1	16	50	W			0	1	1	4	A	5	BNC
79	2	1	17	50	W			0	1	1	5	A	6	BNC
80	2	1	18	50	W			0	1	1	6	A	7	BNC
81	2	1	19	50	W			0	1	1	7	A	8	BNC
21	1	2	1	50	N			0	2	1	8	B	1	LEMO
22	1	2	2	50	N			0	2	1	9	B	2	LEMO
23	1	2	3	50	N			0	2	1	10	B	3	LEMO
24	1	2	4	50	N			0	2	1	11	B	4	LEMO
25	1	2	5	50	N			0	2	1	12	B	5	LEMO
26	1	2	6	50	N			0	2	1	13	B	6	LEMO
27	1	2	7	50	N			0	2	1	14	B	7	LEMO
28	1	2	8	50	N			0	2	1	15	B	8	LEMO
29	1	2	9	50	N			0	2	1	16	C	1	LEMO
30	1	2	10	50	N			0	2	1	17	C	2	LEMO
31	1	2	11	50	N			0	2	1	18	C	3	LEMO
32	1	2	12	50	N			0	2	1	19	C	4	LEMO
33	1	2	13	50	W			0	2	1	20	C	5	LEMO
34	1	2	14	50	W			0	2	1	21	C	6	LEMO
35	1	2	15	50	W			0	2	1	22	C	7	LEMO
36	1	2	16	50	W			0	2	1	23	C	8	LEMO
37	1	2	17	50	W			0	2	1	24	D	1	LEMO
38	1	2	18	50	W			0	2	1	25	D	2	LEMO
39	1	2	19	50	W			0	2	1	26	D	3	LEMO
40	1	2	20	50	W			0	2	1	27	D	4	LEMO
41	1	2	21	50	W			0	2	1	28	D	5	LEMO
84	2	2	1	50	N			0	3	2	0	A	1	LEMO
85	2	2	2	50	N			0	3	2	1	A	2	LEMO
86	2	2	3	50	N			0	3	2	2	A	3	LEMO
87	2	2	4	50	N			0	3	2	3	A	4	LEMO
88	2	2	5	50	N			0	3	2	4	A	5	LEMO
89	2	2	6	50	N			0	3	2	5	A	6	LEMO
90	2	2	7	50	N			0	3	2	6	A	7	LEMO
91	2	2	8	50	N			0	3	2	7	A	8	LEMO
92	2	2	9	50	N			0	3	2	8	B	1	LEMO
93	2	2	10	50	N			0	3	2	9	B	2	LEMO
94	2	2	11	50	N			0	3	2	10	B	3	LEMO
95	2	2	12	50	N			0	3	2	11	B	4	LEMO
96	2	2	13	50	W			0	3	2	12	B	5	LEMO
97	2	2	14	50	W			0	3	2	13	B	6	LEMO
98	2	2	15	50	W			0	3	2	14	B	7	LEMO
99	2	2	16	50	W			0	3	2	15	B	8	LEMO
100	2	2	17	50	W			0	3	2	16	C	1	LEMO
101	2	2	18	50	W			0	3	2	17	C	2	LEMO
102	2	2	19	50	W			0	3	2	18	C	3	LEMO
103	2	2	20	50	W			0	3	2	19	C	4	LEMO
42	1	3	1	25	N			0	4	2	20	C	5	LEMO
43	1	3	2	25	N			0	4	2	21	C	6	LEMO
44	1	3	3	25	N			0	4	2	22	C	7	LEMO
45	1	3	4	25	N			0	4	2	23	C	8	LEMO
46	1	3	5	25	N			0	4	2	24	D	1	LEMO
