0	0	0
1	0	1
2	0	2
3	0	3
4	0	4
5	0	5
6	0	6
7	0	7
8	0	8
9	0	16
10	0	17
11	0	18
12	0	19
13	0	20
14	0	21
15	0	22
16	0	23
17	1	0
18	1	1
19	1	2
20	1	3
21	1	4
22	1	5
23	1	6
24	1	7
25	1	8
26	1	9
27	1	10
28	1	11
29	1	12
30	1	13
31	1	14
32	2	0
33	2	1
34	2	2
35	2	3
36	2	4
37	2	5
38	2	6
39	2	7
40	2	8
41	2	9
42	2	10
43	2	11
44	2	12
45	2	13
46	2	14
47	2	15
48	3	0
49	3	1
50	3	2
51	3	3
52	3	4
53	3	5
54	3	6
55	3	7
56	3	8
57	3	9
58	3	10
59	3	11
60	3	12
61	3	13
62	3	14
63	4	0
64	4	1
65	4	2
66	4	3
67	4	4
68	4	5
69	4	6
70	4	7
71	4	8
72	4	9
73	4	10
74	4	11
75	4	12
76	5	0
77	5	1
78	5	2
79	5	3
80	5	4
81	5	5
82	5	6
83	5	7
84	5	8
85	5	9
86	5	10
87	5	11
88	5	12
89	5	13
90	5	14
91	6	0
92	6	1
93	6	2
94	6	3
95	6	4
96	6	5
97	6	6
98	6	7
99	6	8
100	6	9
101	6	10
102	6	11
103	6	12
104	6	13
105	6	14
106	6	15
107	3	15
108	7	0
109	7	1
110	7	2
111	7	3
112	7	4
113	7	5
114	7	6
115	7	7
116	7	8
117	7	9
118	7	10
119	7	11
120	7	12
121	7	13
122	7	14
123	7	15
124	5	15
125	0	24
126	0	25
127	0	26
128	0	27
129	0	28
130	0	29
131	0	30
132	0	31
133	1	16
134	1	17
135	1	18
136	1	19
137	1	20
138	1	21
139	1	22
140	1	23
141	1	24
142	1	25
143	1	26
144	1	31
145	1	28
146	1	29
147	1	30
148	2	16
149	2	17
150	2	18
151	2	19
152	2	20
153	2	21
154	2	22
155	2	23
156	2	24
157	2	25
158	2	26
159	2	27
160	2	28
161	2	29
162	2	30
163	2	31
164	3	16
165	3	17
166	3	18
167	3	19
168	3	20
169	3	21
170	3	22
171	3	23
172	3	24
173	3	25
174	3	26
175	3	27
176	3	28
177	3	29
178	3	30
179	4	16
180	4	17
181	4	18
182	4	19
183	4	20
184	4	21
185	4	22
186	4	23
187	4	24
188	4	25
189	4	26
190	4	27
191	4	28
192	5	16
193	5	17
194	5	18
195	5	19
196	5	20
197	5	21
198	5	22
199	5	23
200	5	24
201	5	25
202	5	26
203	5	27
204	5	28
205	5	29
206	5	30
207	6	16
208	6	17
209	6	18
210	6	19
211	6	20
212	6	21
213	6	22
214	6	23
215	6	24
216	6	25
217	6	26
218	6	27
219	6	28
220	6	29
221	6	30
222	6	31
223	3	31
224	7	16
225	7	17
226	7	18
227	7	19
228	7	20
229	7	21
230	7	22
231	7	23
232	7	24
233	7	25
234	7	26
235	7	27
236	7	28
237	7	29
238	7	30
239	7	31
240	5	31
