6108056	17933	0	0
6109014	10401	0	0
6109018	9119	0	0
6109093	32767	0	0
6109094	32767	0	0
6110001	32504	0	0
6110004	29961	0	0
6110005	26529	0	0
6110012	12591	1	0
6110013	10870	1	0
6110017	9682	1	0
6111006	32767	2	0
6111009	32527	2	0
6111010	30436	2	0
6111011	25922	2	0
6111012	24145	2	0
6111013	21356	1	0
6111015	19362	1	0
6111016	18214	1	0
6111018	16872	1	0
6111021	15973	1	0
6111052	26629	1	0
6111053	25273	1	0
6111056	23342	1	0
6111057	23059	1	0
6111058	22521	1	0
6111059	21558	1	0
6111060	20920	1	0
6111062	20495	1	0
6111064	20435	1	0
6111065	19370	1	0
6111068	18023	1	0
6111070	16674	1	0
6112004	29009	1	0
6112005	28169	1	0
6112007	27713	1	0
6112008	27170	1	0
6112009	26604	1	0
6112012	25053	1	0
6112013	24672	1	1
6112014	24507	1	1
6112015	22648	1	1
6112016	21702	1	1
6112017	21199	1	1
6112018	20798	1	1
6112020	20175	1	1
6112022	18793	1	1
6113007	32767	2	1
6113008	32767	2	1
6113009	32767	2	1
6113012	32767	2	1
6113013	32622	2	1
6113014	31528	2	1
6113016	29606	1	1
6113017	29195	1	1
6113018	27749	1	1
6113019	27339	1	1
6113020	26987	1	1
6113021	26761	1	1
6113023	26075	1	1
6113026	25086	1	1
6113027	24294	1	1
6113028	23994	1	1
6113029	23794	1	1
6113030	22564	1	1
6113031	22331	1	1
6113034	20900	1	1
6113036	20359	1	1
6113037	20018	1	1
6113038	19459	1	1
6113040	19392	1	1
6113041	19138	1	1
6113054	29071	1	1
6113055	27347	1	1
6113056	26730	1	1
6113059	24054	1	1
6113062	23527	1	1
6113066	22320	1	1
6113067	22020	1	1
6113069	21009	1	1
6113070	20745	1	1
6113071	20508	1	1
6113072	20022	1	1
6113073	19529	1	1
6113079	18385	1	1
6113080	18057	1	1
6114009	18882	1	1
6114010	18321	1	1
6114011	18012	1	1
6114012	17146	1	1
6114013	16651	1	1
6114015	16328	1	1
6114031	28159	1	1
6114033	27550	1	1
6114034	26549	1	1
6115034	0	0	0
6115064	21943	1	1
6115066	21823	1	1
6115067	20574	1	1
6115068	19506	1	1
6115069	19415	1	1
6116005	17032	1	1
6116008	16086	1	1
6116029	12933	1	1
6116031	12933	1	1
6116032	12933	1	1
6116034	12933	1	1
6116035	12933	1	1
6116036	12933	1	1
6116037	12933	1	1
6116038	12933	1	1
6116039	12933	1	1
6116040	12933	1	1
6116041	12933	1	1
6116042	12933	1	1
6116043	12933	1	1
6116044	12933	1	1
6116045	12933	1	1
6116065	12092	1	1
6116078	32767	2	1
6116080	32767	2	1
6116081	32767	2	1
6116084	32767	2	1
6116085	31072	2	1
6116086	28835	1	1
