#L2-ped algorithm finishRun(7077049)
#L2H10,6,total event counter; x=cases,270,270,270,0,0,0,
#L2ped  CPU/eve MPV 138 kTicks,  FWHM=3, seen eve=270
# L2ped-Adc spectra, run=7077049, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  1.7 0x01 0x38         P01TA01  336 :.........<.........*.........>..34555311..1......:.........1.........:......... qa=+
 01TA02  12  1.7 0x01 0x39         P01TA02  342 :.........<.........*.........2555421.1.:.1....1..:.........:.........:......... qa=+
 01TA03  24  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:2355532111.1.11....:.........:......... qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:..455532.:.........:.........:......... qa=+
 01TA05  20  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.......2355532.....:.........:.........:......... qa=+
 01TA06  21  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......145542.....1:.........:.........:......... qa=+
 01TA07  26  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:..145542.:1........1.........:..1...... qa=+
 01TA08  19  1.3 0x01 0x3b         P01TA08  354 :.........<.........*.........>......245542211....1.........:.........:......... qa=+
 01TA09  11  1.7 0x01 0x3c         P01TA09  360 :.........<.........*........355531.1...:.........:.........:..1......:......... qa=+
 01TA10  19  1.7 0x01 0x3d         P01TA10  366 :.........<.........*.........>.....13555211......:..11...1.:.........:......1.. qa=+
 01TA11  23  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........145531..1.1.........:.........:......... qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>....135542...1.11..:.........:.........:......... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>........2455442..1.:1...1....:.........:......... qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........:2455432..:1.1.1....:.........:......... qa=+
 01TB03  24  1.3 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:124554211:.........:.........:......... qa=+
 01TB04  16  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>..1355531:1..1.....:.........:.........:......... qa=+
 01TB05  23  1.3 0x01 0x71         P01TB05  678 :.........<.........*.........>.........1345532...111.......:.........:......... qa=+
 01TB06  23  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........:245542..11.1...1.1.:.........:......... qa=+
 01TB07  22  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>.........455431..1.:.......1.:.........:......... qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....114555421.....:.........:...1..... qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>12455441.:..1.....1:.........:.........:......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>......145542.11..1.:.........:.........:......... qa=+
 01TB11  27  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:....24554111...1...:.........:......... qa=+
 01TB12  31  1.7 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:........35553.21.2.:...1.....:........1 qa=+
 01TC01  20  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>......14455411.1...:.........:1....1...:......... qa=+
 01TC02  26  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:...145542:.........:.........:......... qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:...355421:..11..1..:.........:......... qa=+
 01TC04  18  1.3 0x01 0x74         P01TC04  696 :.........<.........*.........>......4553111.1...1:1........:.........:......... qa=+
 01TC05  18  0.9 0x01 0x75         P01TC05  702 :.........<.........*.........>.....35542.111.....1.........:.........:......... qa=+
 01TC06  17  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>....2455311.111....:.........:.........:..1...... qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>...355411:.1.......:.........:.........:......... qa=+
 01TC08  31  1.7 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:........35553111...:........1:......... qa=+
 01TC09  19  1.7 0x01 0x4c         P01TC09  456 :.........<.........*.........>......345542.......:1..1.1...:1........:......... qa=+
 01TC10  28  1.3 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:.....24554311......:..1......:......... qa=+
 01TC11  31  2.2 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:........2455432.11.:.........:......... qa=+
 01TC12  24  1.3 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........:24554311.:..1.1....:1......1.:......... qa=+
 01TD01  20  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>.......4554222.....:...1.....:.........:......... qa=+
 01TD02  23  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.........235543..1.:.........:.........:.......1. qa=+
 01TD03  28  1.3 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:.....245531.1.111..:.........:.1....... qa=+
 01TD04  17  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>...134554211.1.1...:.........:.........:......... qa=+
 01TD05  18  1.3 0x02 0x51         P01TD05  487 :.........<.........*.........>.....24554211.....1:.........:.........:......... qa=+
 01TD06  24  2.2 0x02 0x52         P01TD06  493 :.........<.........*.........>.........:34554321.1.........:.........:......... qa=+
 01TD07  21  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>.......13455532....:.....1...:.........1......... qa=+
 01TD08  26  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:...355431:1....1...:.........:......... qa=+
 01TD09  12  1.7 0x02 0x04         P01TD09   25 :.........<.........*........113555431.1:.........:.........:.........:......... qa=+
 01TD10  21  1.7 0x02 0x05         P01TD10   31 :.........<.........*.........>.......2455442....11...1.1...:.........:......... qa=+
 01TD11  23  1.3 0x02 0x06         P01TD11   37 :.........<.........*.........>.........:345542.1.1.1.1..1..:.........1......... qa=+
 01TD12  28  1.3 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:....14554211.......:....1....:......... qa=+
 01TE01  22  1.7 0x02 0x08         P01TE01   49 :.........<.........*.........>.........345542111.1.........:1........:......... qa=+
 01TE02  21  1.3 0x02 0x09         P01TE02   55 :.........<.........*.........>........1455311..1.:1.1......:.1.......:......... qa=+
 01TE03  27  1.3 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:....3455421.1......:.........:......... qa=+
 01TE04  15  0.9 0x02 0x54         P01TE04  505 :.........<.........*.........>..3455311:1.1......:1........:.........:......... qa=+
 01TE05  16  1.3 0x02 0x55         P01TE05  511 :.........<.........*.........>...145531:111......:.........:.........:......... qa=+
 01TE06  18  1.7 0x02 0x56         P01TE06  517 :.........<.........*.........>.....1455531.1...11:..1......:.........:......... qa=+
 01TE07  18  1.3 0x02 0x57         P01TE07  523 :.........<.........*.........>....145542.........:.........:....1....:......... qa=+
 01TE08  25  1.3 0x02 0x0b         P01TE08   67 :.........<.........*.........>.........:.1455421.:1........:.........:......... qa=+
 01TE09  25  1.7 0x02 0x0c         P01TE09   73 :.........<.........*.........>.........:.1455531.:..1......1.........:......... qa=+
 01TE10  20  1.3 0x02 0x0d         P01TE10   79 :.........<.........*.........>.......245531..11..:.........:.........:......... qa=+
 01TE11  26  1.3 0x02 0x0e         P01TE11   85 :.........<.........*.........>.........:...24553.:2.1......1.........:......... qa=+
 01TE12  24  1.7 0x02 0x0f         P01TE12   91 :.........<.........*.........>.........:135553...:.....1...:...11....:...1..... qa=+
 02TA01  18  1.3 0x02 0x10         P02TA12   97 :.........<.........*.........>....13455321.......:...1.....:.........:......... qa=+
 02TA02  20  1.3 0x02 0x11         P02TA11  103 :.........<.........*.........>......135542211.1..:.......1.:.........:......... qa=+
 02TA03  22  1.3 0x02 0x12         P02TA10  109 :.........<.........*.........>.........2455211211:....1....:.........:......... qa=+
 02TA04  14  1.3 0x02 0x58         P02TA09  529 :.........<.........*.........>.255532.111.......1:.........:.........:......... qa=+
 02TA05  15  1.3 0x02 0x59         P02TA08  535 :.........<.........*.........>...45542.1..1.1.1.1:.1...1...:.........:......... qa=+
 02TA06  19  1.7 0x02 0x5a         P02TA07  541 :.........<.........*.........>......35553....11..1.........:.....1...:......... qa=+
