#L2-ped algorithm finishRun(7082081)
#L2H10,6,total event counter; x=cases,781,781,781,0,0,0,
#L2ped  CPU/eve MPV 143 kTicks,  FWHM=3, seen eve=781
# L2ped-Adc spectra, run=7082081, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  1.7 0x01 0x38         P01TA01  336 :.........<.........*.........>12456664221.11.1...:.1.......:.........:......... qa=+
 01TA02  12  1.7 0x01 0x39         P01TA02  342 :.........<.........*........3566652212.:......1..:.........:.........:......... qa=+
 01TA03  24  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........135666432111111.11..:...1.....:..1...... qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........11356664211.........:......1..:......... qa=+
 01TA05  21  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.......35666532.11.:11.......:.....1...:......... qa=+
 01TA06  20  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>......135665321111.1.1.11....:.........:......... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:.1356653.:111..1..1:.........:...11.... qa=+
 01TA08  19  1.3 0x01 0x3b         P01TA08  354 :.........<.........*.........>.....13566532.11.1.:......1..:.........:...11.... qa=+
 01TA09  11  1.7 0x01 0x3c         P01TA09  360 :.........<.........*........46663111.1.1....111.1:.........:.1.......:......... qa=+
 01TA10  19  1.7 0x01 0x3d         P01TA10  366 :.........<.........*.........>.....14666321.1111.:1...1....:.........:......... qa=+
 01TA11  22  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........366642.111:11.....11:.........:......... qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>....156653221.1.1..:.........:...1.....:......... qa=+
 01TB01  22  2.2 0x01 0x40         P01TB01  384 :.........<.........*.........>.......2456655312..:.........:.........:......... qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........235665432.:1........:.........:....1.... qa=+
 01TB03  24  1.3 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:1456654111.111..1..1.........:...1..... qa=+
 01TB04  16  1.7 0x01 0x70         P01TB04  672 :.........<.........*.........>..25666421.11.1..1.:........1:.........:......... qa=+
 01TB05  23  1.7 0x01 0x71         P01TB05  678 :.........<.........*.........>.........356664111.:.11...1..:.1.......:......... qa=+
 01TB06  23  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........146664222.:.111....1:........1:......... qa=+
 01TB07  21  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>........3566531.11.1.1.......:.........:......... qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:.....145665431.1.1.1.1..1....:..1...... qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........>135666431:..1.111..:.........:.........1......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.....135665321.....:.........:.........:.1....1.. qa=+
 01TB11  19  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>......4566421......:.11..11..:.........:......... qa=+
 01TB12  31  1.7 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:........466642....11.1..1....:..1...... qa=+
 01TC01  20  1.3 0x01 0x48         P01TC01  432 :.........<.........*.........>......24566532111.1:.........:.........:......... qa=+
 01TC02  26  1.7 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:...466642:...1.1...:.........:......... qa=+
 01TC03  25  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..356653.211..11.11:.1.......:.1....... qa=+
 01TC04  18  1.7 0x01 0x74         P01TC04  696 :.........<.........*.........>....246664211.1....:.1..1....:.........:......... qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>....14665321111....:1........:.........:......... qa=+
 01TC06  17  1.3 0x01 0x76         P01TC06  708 :.........<.........*.........>...1356642112.11...1.1.......:.........:......... qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>..35665112.111.....:.....1...:.........:......... qa=+
 01TC08  31  1.3 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:.......25665421.1.1:.......1.:......... qa=+
 01TC09  20  1.7 0x01 0x4c         P01TC09  456 :.........<.........*.........>......4566541.1.1..:...1...1.:.........:......... qa=+
 01TC10  28  1.3 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:....245665311111..1:..11.....:1........ qa=+
 01TC11  31  1.7 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......246665422.1111.1...11.:.....1... qa=+
 01TC12  23  1.7 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........1456653221:....1....1.........:......... qa=+
 01TD01  20  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>......3566532211...:.........:....1....:......... qa=+
 01TD02  22  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>.........3566531122:..1.1....:....1....:.....1... qa=+
 01TD03  28  0.9 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:....2466642212111..:.........:......... qa=+
 01TD04  17  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>...24566431111.1..1:1........:.........:......... qa=+
 01TD05  19  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>....13566531111.1111...1.....:.........:......... qa=+
 01TD06  23  2.2 0x02 0x52         P01TD06  493 :.........<.........*.........>.........24566543..12.11.....:.........:.....1... qa=+
 01TD07  21  2.2 0x02 0x53         P01TD07  499 :.........<.........*.........>......1345665432.1.:1...1..1.:...1.....:......... qa=+
 01TD08  26  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:..246654122111.....1..1..1...:......... qa=+
 01TD09  12  1.7 0x02 0x04         P01TD09   25 :.........<.........*.........2466653111:.........:.........:....1....:......... qa=+
 01TD10  21  1.7 0x02 0x05         P01TD10   31 :.........<.........*.........>......24566642..11.:1.1..1...:..1......:......... qa=+
 01TD11  23  1.7 0x02 0x06         P01TD11   37 :.........<.........*.........>.........24666531.21.........:1.1...1..:......... qa=+
 01TD12  27  1.3 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:....35664311..11.1.:.1.......:....1.... qa=+
 01TE01  22  1.7 0x02 0x08         P01TE01   49 :.........<.........*.........>........24666532.11:1........:.........:......... qa=+
 01TE02  21  1.7 0x02 0x09         P01TE02   55 :.........<.........*.........>........26665221.1.:.1......1:.........:......... qa=+
 01TE03  27  1.3 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:...13566422.11211.11.1.......:......... qa=+
 01TE04  15  1.7 0x02 0x54         P01TE04  505 :.........<.........*.........>.14666421:.1...1...:.........1.........:......... qa=+
 01TE05  16  1.3 0x02 0x55         P01TE05  511 :.........<.........*.........>..14666422112211...:1........:......1..:......... qa=+
 01TE06  18  1.7 0x02 0x56         P01TE06  517 :.........<.........*.........>....246665311.1.1..1.........:.1.......:......... qa=+
 01TE07  17  1.3 0x02 0x57         P01TE07  523 :.........<.........*.........>...1356653.11.1.1..:..1......:.........:......... qa=+
 01TE08  24  1.3 0x02 0x0b         P01TE08   67 :.........<.........*.........>.........:13566521.111.1.1...1...1.....:......... qa=+
 01TE09  25  1.3 0x02 0x0c         P01TE09   73 :.........<.........*.........>.........:.256654.1111...11..:.1.......1......... qa=+
 01TE10  20  1.3 0x02 0x0d         P01TE10   79 :.........<.........*.........>.......456642111..111........:......1..:......... qa=+
 01TE11  26  1.3 0x02 0x0e         P01TE11   85 :.........<.........*.........>.........:...35664111...11.1.111....11.:......... qa=+
 01TE12  24  1.7 0x02 0x0f         P01TE12   91 :.........<.........*.........>.........:2566642..:11.......:.........:......... qa=+
 02TA01  18  1.3 0x02 0x10         P02TA12   97 :.........<.........*.........>...135665421.111..1:...1...111.........:......... qa=+
 02TA02  20  1.3 0x02 0x11         P02TA11  103 :.........<.........*.........>.....1346653221.1.1:.........:.........:......... qa=+
 02TA03  22  1.3 0x02 0x12         P02TA10  109 :.........<.........*.........>........15665321.1.1.......1.:.........1......... qa=+
 02TA04  14  1.3 0x02 0x58         P02TA09  529 :.........<.........*.........>.46653211111.1....1:.........:.........:......... qa=+
 02TA05  15  1.3 0x02 0x59         P02TA08  535 :.........<.........*.........>..35665311.1111111.:...1..1..:.........:......... qa=+
 02TA06  19  1.3 0x02 0x5a         P02TA07  541 :.........<.........*.........>......46664211...1.:111....1.:1........:......... qa=+
 02TA07  30  1.7 0x02 0x5b         P02TA06  547 :.........<.........*.........>.........:......1566542111.111.........1.1....... qa=+
 02TA08  23  1.3 0x02 0x13         P02TA05  115 :.........<.........*.........>.........:3566421111..11...1.:.1.......:......... qa=+
 02TA09  12  1.3 0x02 0x14         P02TA04  121 :.........<.........*.........357641.111:1..1.....1..1......:.........:......... qa=+
 02TA10  14  1.3 0x02 0x15         P02TA03  127 :.........<.........*.........>135664212:11..1.1.1:.........:.........:......... qa=+
 02TA11  16  1.3 0x02 0x16         P02TA02  133 :.........<.........*.........>...3566421.21..1..11........1:.........:......... qa=+
 02TA12  20  1.3 0x02 0x17         P02TA01  139 :.........<.........*.........>......3566531.1...1:......1..:......1..:.1.1..... qa=+
 02TB01  10  1.3 0x02 0x18         P02TB12  145 :.........<.........*......14566531.1111:......1..:.........:.........:......... qa=+
 02TB02  22  1.3 0x02 0x19         P02TB11  151 :.........<.........*.........>.......23456642.1111...1.1..1:....1...1:......... qa=+
 02TB03  20  1.3 0x02 0x1a         P02TB10  157 :.........<.........*.........>.......256653221..11.111....1:1........:......... qa=+
 02TB04  21  1.3 0x02 0x5c         P02TB09  553 :.........<.........*.........>.......1366642211.111........:.........:......... qa=+
 02TB05  22  1.3 0x02 0x5d         P02TB08  559 :.........<.........*.........>.........256651.1..:1..2..11.:.........:......... qa=+
 02TB06  20  1.3 0x02 0x5e         P02TB07  565 :.........<.........*.........>.......25665322.212:.........:.........:......... qa=+
 02TB07  21  1.7 0x02 0x5f         P02TB06  571 :.........<.........*.........>.......146665321...:.1....1..:....1....:.....1... qa=+
 02TB08  23  1.3 0x02 0x1b         P02TB05  163 :.........<.........*.........>........24566543..111...1....:.........:......... qa=+
 02TB09  19  1.3 0x02 0x1c         P02TB04  169 :.........<.........*.........>.....246663111....1:.........:.......1.:......... qa=+
 02TB10  24  1.3 0x02 0x1d         P02TB03  175 :.........<.........*.........>.........:125664..1:...1....1:.11......:....1.... qa=+
 02TB11  26  1.3 0x02 0x1e         P02TB02  181 :.........<.........*.........>.........:.1356652.1..1..1.1.:.........:......... qa=+
 02TB12  23  1.7 0x02 0x1f         P02TB01  187 :.........<.........*.........>.........24666521.111.......1:.........:1........ qa=+
 02TC01  17  1.3 0x02 0x20         P02TC01  193 :.........<.........*.........>..145665432.121...1:.........:.........:.1....... qa=+
 02TC02  13  1.3 0x02 0x21         P02TC02  199 :.........<.........*........134665421121...11....:1........:.........:......... qa=+
 02TC03  23  1.3 0x02 0x22         P02TC03  205 :.........<.........*.........>........1356653212.:1..1....1:.1.......:......... qa=+
 02TC04  14  1.3 0x02 0x60         P02TC04  577 :.........<.........*.........>125665421:1.11....1:.........:.........:......... qa=+
 02TC05  20  1.3 0x02 0x61         P02TC05  583 :.........<.........*.........>.......35665321..1.:.1.....1.:.1..1....:.......1. qa=+
 02TC06  23  1.3 0x02 0x62         P02TC06  589 :.........<.........*.........>.........13566432211..111..1.:.....1...:......... qa=+
 02TC07  24  1.3 0x02 0x63         P02TC07  595 :.........<.........*.........>.........:.456653211.111..11.:..1......:......... qa=+
 02TC08  23  1.3 0x02 0x23         P02TC08  211 :.........<.........*.........>.........24566531.111..1.....:.1.......:......... qa=+
 02TC09  16  1.7 0x02 0x24         P02TC09  217 :.........<.........*.........>..35566542..11.11..:.........:1...1....:......... qa=+
 02TC10  25  1.7 0x02 0x25         P02TC10  223 :.........<.........*.........>.........:.346665311.11.2.11.:...1...1.:......... qa=+
 02TC11  22  1.3 0x02 0x26         P02TC11  229 :.........<.........*.........>........35665411111:.11..1.11:.........:......... qa=+
 02TC12  20  1.3 0x02 0x27         P02TC12  235 :.........<.........*.........>......35665211...1.1..1......:.........:1........ qa=+
 02TD01  15  1.7 0x02 0x28         P02TD01  241 :.........<.........*.........>..3566542221.11..1.:.......11:.........:......... qa=+
 02TD02  15  1.3 0x02 0x29         P02TD02  247 :.........<.........*.........>.2566532221..1.1.1.:....1....:.........:......... qa=+
 02TD03  16  1.7 0x02 0x2a         P02TD03  253 :.........<.........*.........>..146664312.1.1....:..1.1....:.........:......... qa=+
 02TD04  21  1.7 0x02 0x64         P02TD04  601 :.........<.........*.........>..225....6665....1211.....11.:....1....:......... qa=+
 02TD05  17  1.7 0x02 0x65         P02TD05  607 :.........<.........*.........>.123566642111..1...:1...1....:......1..:......... qa=+
 02TD06  21  1.7 0x02 0x66         P02TD06  613 :.........<.........*.........>.......24666532.1111.........:.........:......... qa=+
 02TD07  19  1.7 0x02 0x67         P02TD07  619 :.........<.........*.........>.....2566644211.1..1.1..1....:.........:.1....... qa=+
 02TD08  23  1.7 0x02 0x2b         P02TD08  259 :.........<.........*.........>.........246664211.111.......:...1.....:.1....... qa=+
