#L2-ped algorithm finishRun(7079028)
#L2H10,6,total event counter; x=cases,2022,2022,2022,0,0,0,
#L2ped  CPU/eve MPV 146 kTicks,  FWHM=2, seen eve=2022
# L2ped-Adc spectra, run=7079028, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  1.7 0x01 0x38         P01TA01  336 :.........<.........*.........>13566776332211.1.1.1..111....:....1....:......... qa=+
 01TA02  12  1.7 0x01 0x39         P01TA02  342 :.........<.........*........3567764322121111..1..11121..1..:.1....1..:......... qa=+
 01TA03  24  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:35777642121.1.21...11........:......... qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........11357775322111111..1:....1....:......... qa=+
 01TA05  21  1.7 0x01 0x6c         P01TA05  648 :.........<.........*.........>.......257776422111:2.1..11.1:.........:......... qa=+
 01TA06  21  1.3 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......35776421.1121211......:.1...1...:......... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:.1367764222212111111.........:......... qa=+
 01TA08  20  1.3 0x01 0x3b         P01TA08  354 :.........<.........*.........>......46776532121221.111..111:.........:......... qa=+
 01TA09  11  1.7 0x01 0x3c         P01TA09  360 :.........<.........*.......25777512221112212..1..1..1..1...:.........:......... qa=+
 01TA10  19  1.3 0x01 0x3d         P01TA10  366 :.........<.........*.........>.....2567752121.1.11...11...1:.........:......... qa=+
 01TA11  22  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........367763121111.1.11...:.........:.......11 qa=+
 01TA12  18  1.3 0x01 0x3f         P01TA12  378 :.........<.........*.........>....15777521121111.1....1....:..1......:......... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>......1246777653211111.1...1.1........1:......... qa=+
 01TB02  24  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>........1246776543322211.11..1.........:......... qa=+
 01TB03  25  1.3 0x01 0x42         P01TB03  396 :.........<.........*.........>.........124677653222.1111...:.........:....1..1. qa=+
 01TB04  16  1.3 0x01 0x70         P01TB04  672 :.........<.........*.........>..25677532212111...:.........:.........:.......1. qa=+
 01TB05  23  1.7 0x01 0x71         P01TB05  678 :.........<.........*.........>.........2567753222121.1..11.:.........:.1....... qa=+
 01TB06  23  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........246776322322.211..11:1.......1:......... qa=+
 01TB07  22  1.3 0x01 0x73         P01TB07  690 :.........<.........*.........>.......1367765322111.121.1...:.........:......... qa=+
 01TB08  30  1.7 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:......4677754321211:1.1.1..1.:......... qa=+
 01TB09  15  1.7 0x01 0x44         P01TB09  408 :.........<.........*.........1246776642222..111.11.11.1....:.........:.....1... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.....13577642211.12:1..1.....:1........:.1.1..... qa=+
 01TB11  27  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:...14677632121.122.:1..1....11.......1. qa=+
 01TB12  31  1.7 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:.......25777531.2111.11.11..1:......... qa=+
 01TC01  20  1.3 0x01 0x48         P01TC01  432 :.........<.........*.........>.....1256776431212.2..1...1..:.........:....1.... qa=+
 01TC02  27  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:...367764221222.11.1..1.....1:......... qa=+
 01TC03  26  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..257765222.2..2...1.........:......... qa=+
