#L2-ped Run(7150008)
#L2H10,6,total event counter; x=cases,269,269,269,0,0,0,
#L2ped  CPU/eve MPV 155 kTicks,  FWHM=3, seen eve=269
# L2ped-Adc spectra, run=7150008, Z-scale is ln(yield), only first digit shown;  maxPedDev=5  table format:
# name, ped, sigPed, crate, chan, softID-m-s-e, RDO_ID;
#                                   ADC spectrum: [-20 ...  <=-10 ... *=0  ...  >=+10 ... :=+20 ... 60],  Xaxis=raw ADC + 20
 01TA01  16  2.2 0x01 0x38         P01TA01  336 :.........<.........*.........>.2445542.1.........:.........:.........:......... qa=+
 01TA02  12  1.3 0x01 0x39         P01TA02  342 :.........<.........*........134554211.1:.........:.........:1........:......... qa=+
 01TA03  24  1.7 0x01 0x3a         P01TA03  348 :.........<.........*.........>.........:23555321112..11....:.........:......... qa=+
 01TA04  25  1.7 0x01 0x6d         P01TA04  654 :.........<.........*.........>.........:.13555421:...11....1.........:......... qa=+
 01TA05  20  1.3 0x01 0x6c         P01TA05  648 :.........<.........*.........>......22455431....1:.........:.........:......... qa=+
 01TA06  20  0.9 0x01 0x6e         P01TA06  660 :.........<.........*.........>.......1554311.....:.........:.....1...:...1..... qa=+
 01TA07  25  1.3 0x01 0x6f         P01TA07  666 :.........<.........*.........>.........:...4554211.......11:.........:......... qa=+
 01TA08  18  1.3 0x01 0x3b         P01TA08  354 :.........<.........*.........>......455432...1...:.........:.........:......... qa=+
 01TA09  11  1.7 0x01 0x3c         P01TA09  360 :.........<.........*........255521....1:.........:.........:.........:......... qa=+
 01TA10  19  1.3 0x01 0x3d         P01TA10  366 :.........<.........*.........>......345531....1..:..1......:.........:......... qa=+
 01TA11  22  1.3 0x01 0x3e         P01TA11  372 :.........<.........*.........>.........24553.1...:...1.....:.........:......... qa=+
 01TA12  17  0.9 0x01 0x3f         P01TA12  378 :.........<.........*.........>....245521.1.11....:....1....:.........:......... qa=+
 01TB01  22  1.7 0x01 0x40         P01TB01  384 :.........<.........*.........>........34554321...:.........:.........:......... qa=+
 01TB02  23  1.7 0x01 0x41         P01TB02  390 :.........<.........*.........>.........13555422..:..1......:.........:......... qa=+
 01TB03  24  1.7 0x01 0x42         P01TB03  396 :.........<.........*.........>.........:14555321.1..1...1..:.........:......... qa=+
 01TB04  16  1.3 0x01 0x70         P01TB04  672 :.........<.........*.........>..245542221.1......:.........:.........:......... qa=+
 01TB05  23  1.7 0x01 0x71         P01TB05  678 :.........<.........*.........>.........245543...1:1........:1.11.....:......... qa=+
 01TB06  23  1.3 0x01 0x72         P01TB06  684 :.........<.........*.........>.........:2455311..:..1.1....:.......1.1......... qa=+
 01TB07  22  1.7 0x01 0x73         P01TB07  690 :.........<.........*.........>.........3555311...1.........:.........:......... qa=+
 01TB08  29  2.2 0x01 0x43         P01TB08  402 :.........<.........*.........>.........:......24554311.1...:1........:......... qa=+
 01TB09  15  1.3 0x01 0x44         P01TB09  408 :.........<.........*.........>.2455431.:....1....:.........:.........:......... qa=+
 01TB10  20  1.3 0x01 0x45         P01TB10  414 :.........<.........*.........>.....1.4554211..1..:.........:.......1.:......... qa=+
 01TB11  28  1.3 0x01 0x46         P01TB11  420 :.........<.........*.........>.........:....145541..1....1.:.........:......... qa=+
 01TB12  30  1.3 0x01 0x47         P01TB12  426 :.........<.........*.........>.........:.......14554111....1....1....:....1.... qa=+
 01TC01  20  1.7 0x01 0x48         P01TC01  432 :.........<.........*.........>......34553......1.:..1......:.........:......... qa=+
 01TC02  26  1.3 0x01 0x49         P01TC02  438 :.........<.........*.........>.........:..13554.11.1.......:.........:......... qa=+
 01TC03  25  1.3 0x01 0x4a         P01TC03  444 :.........<.........*.........>.........:..355431.:.11..1...:.........:......... qa=+
 01TC04  18  0.9 0x01 0x74         P01TC04  696 :.........<.........*.........>.....155531..1.....:.........:.........:......... qa=+
 01TC05  18  1.3 0x01 0x75         P01TC05  702 :.........<.........*.........>.....355411.1.1....:.........:.........:......... qa=+
 01TC06  17  1.7 0x01 0x76         P01TC06  708 :.........<.........*.........>....2555211.1......:.........:1........:......... qa=+
 01TC07  16  1.3 0x01 0x77         P01TC07  714 :.........<.........*.........>..145542111111....1:.........:.........:......... qa=+
 01TC08  31  1.7 0x01 0x4b         P01TC08  450 :.........<.........*.........>.........:........3555311.1.1:...1.....:.....1... qa=+
 01TC09  19  1.7 0x01 0x4c         P01TC09  456 :.........<.........*.........>.....13555321..11.1:.1..1....:.........:......... qa=+
 01TC10  28  1.3 0x01 0x4d         P01TC10  462 :.........<.........*.........>.........:.....245541....1...:...1...1.:......... qa=+
 01TC11  31  1.3 0x01 0x4e         P01TC11  468 :.........<.........*.........>.........:.......2355432.....:.........:......... qa=+
 01TC12  24  1.3 0x01 0x4f         P01TC12  474 :.........<.........*.........>.........:14554211.:..1....1.:.........:......... qa=+
 01TD01  18  1.3 0x02 0x00         P01TD01    1 :.........<.........*.........>.....245531....1...:..1......:.........:......... qa=+
 01TD02  22  1.3 0x02 0x01         P01TD02    7 :.........<.........*.........>........145542..1..:.........:.........:......... qa=+
 01TD03  27  1.7 0x02 0x02         P01TD03   13 :.........<.........*.........>.........:....3555211....1...:.........:......... qa=+
 01TD04  17  1.3 0x02 0x50         P01TD04  481 :.........<.........*.........>...3455431.........1........1:.........:......... qa=+
 01TD05  18  1.7 0x02 0x51         P01TD05  487 :.........<.........*.........>....1355432.11.11..:.........:.........:......... qa=+
 01TD06  23  1.7 0x02 0x52         P01TD06  493 :.........<.........*.........>.........:455433.1.111.2.....:.........:......... qa=+
 01TD07  20  1.7 0x02 0x53         P01TD07  499 :.........<.........*.........>......244554321111.:.........:.........:......... qa=+
 01TD08  24  1.3 0x02 0x03         P01TD08   19 :.........<.........*.........>.........:.245531..1........1:.........:......... qa=+
 01TD09  12  1.3 0x02 0x04         P01TD09   25 :.........<.........*.........345543.11.:.1.......:.........:.........:......... qa=+
 01TD10  22  1.7 0x02 0x05         P01TD10   31 :.........<.........*.........>........3455422.11.1.....1...:.........:......... qa=+
 01TD11  21  1.7 0x02 0x06         P01TD11   37 :.........<.........*.........>.......13555431.1..:.........:.1.......:......... qa=+
 01TD12  27  1.7 0x02 0x07         P01TD12   43 :.........<.........*.........>.........:...1455431111..1.11:.........:......... qa=+
 01TE01  22  1.3 0x02 0x08         P01TE01   49 :.........<.........*.........>........245542.....:......1..:.........:......... qa=+
 01TE02  20  1.3 0x02 0x09         P01TE02   55 :.........<.........*.........>.......355431.1....:.........:.........:......... qa=+
 01TE03  26  1.7 0x02 0x0a         P01TE03   61 :.........<.........*.........>.........:...3555311..1......:.........:......... qa=+
 01TE04  14  1.7 0x02 0x54         P01TE04  505 :.........<.........*.........>.155531.11.111.....:.........:.........:......... qa=+
 01TE05  15  1.3 0x02 0x55         P01TE05  511 :.........<.........*.........>.1145532.1.1....1..:...1.....:.........:......1.. qa=+
 01TE06  17  1.7 0x02 0x56         P01TE06  517 :.........<.........*.........>...135553:.111.....:.........:.....1...:......... qa=+
 01TE07  17  1.7 0x02 0x57         P01TE07  523 :.........<.........*.........>...1355531..1....1.:.........:.........:......... qa=+
 01TE08  23  1.3 0x02 0x0b         P01TE08   67 :.........<.........*.........>.........2355431.1.:.......1.:.........:......... qa=+
 01TE09  24  1.3 0x02 0x0c         P01TE09   73 :.........<.........*.........>.........:245543.1.:.....1...:.........:......... qa=+
 01TE10  19  1.7 0x02 0x0d         P01TE10   79 :.........<.........*.........>.....135552......11:.........1.........:......... qa=+
 01TE11  26  1.7 0x02 0x0e         P01TE11   85 :.........<.........*.........>.........:...35553.:1........:1........:......... qa=+
 01TE12  21  1.3 0x02 0x0f         P01TE12   91 :.........<.........*.........>........14554311...:.........:.1.......:......... qa=+
 02TA01  16  1.7 0x02 0x10         P02TA12   97 :.........<.........*.........>..1355542:.......1.:.........:.........:......... qa=+
 02TA02  19  1.3 0x02 0x11         P02TA11  103 :.........<.........*.........>.....145541...1....:.........:.........:......... qa=+
 02TA03  20  1.3 0x02 0x12         P02TA10  109 :.........<.........*.........>.......2455421.1...:.........:.1...1...:......... qa=+
 02TA04  14  1.3 0x02 0x58         P02TA09  529 :.........<.........*.........>.3553..1.11..1..1..:.........:.........:......... qa=+
 02TA05  15  0.9 0x02 0x59         P02TA08  535 :.........<.........*.........>.125552112.1...1...:.........:.........:......... qa=+
 02TA06  19  1.7 0x02 0x5a         P02TA07  541 :.........<.........*.........>......355531..1....:.........:......1..:......... qa=+
 02TA07  30  1.3 0x02 0x5b         P02TA06  547 :.........<.........*.........>.........:.......3554321.1..1:.........:......... qa=+
 02TA08  22  0.9 0x02 0x13         P02TA05  115 :.........<.........*.........>.........35553...1.:.1.1.1...:.........:......... qa=+
 02TA09  11  1.3 0x02 0x14         P02TA04  121 :.........<.........*........355421..1..:1........:.........:.........:......... qa=+
 02TA10  13  1.7 0x02 0x15         P02TA03  127 :.........<.........*.........>35553..1.:....1....:.........:.........:......... qa=+
 02TA11  16  1.3 0x02 0x16         P02TA02  133 :.........<.........*.........>...35541.:...1.....:11.......:.........:......... qa=+
 02TA12  19  1.3 0x02 0x17         P02TA01  139 :.........<.........*.........>.....2455421.1.1...:.........1.........:......... qa=+
 02TB01   9  1.3 0x02 0x18         P02TB12  145 :.........<.........*......355421.1.1...:..1......:.........:.........:......... qa=+
 02TB02  21  1.7 0x02 0x19         P02TB11  151 :.........<.........*.........>......134455411.11.11........:.........:......... qa=+
 02TB03  20  1.3 0x02 0x1a         P02TB10  157 :.........<.........*.........>.......35541.1...1.:......1..:.........:......... qa=+
 02TB04  20  1.3 0x02 0x5c         P02TB09  553 :.........<.........*.........>.......245542..1...:...1.....:1........:......... qa=+
