         10     2.782 
    10.1617     2.805 
    10.3261     2.828 
    10.4931     2.852 
    10.6628     2.876 
    10.8353     2.899 
    11.0106     2.921 
    11.1886      2.92 
    11.3696      2.92 
    11.5535     2.919 
    11.7404     2.919 
    11.9303     2.919 
    12.1232     2.919 
    12.3193      2.92 
    12.5186     2.901 
     12.721     2.881 
    12.9268     2.862 
    13.1359     2.841 
    13.3483     2.808 
    13.5642     2.776 
    13.7836     2.745 
    14.0066     2.716 
    14.2331     2.688 
    14.4633     2.657 
    14.6973     2.625 
     14.935     2.593 
    15.1765     2.563 
     15.422     2.533 
    15.6714     2.504 
    15.9249     2.472 
    16.1825     2.439 
    16.4442     2.407 
    16.7102     2.365 
    16.9805     2.315 
    17.2551     2.266 
    17.5342     2.218 
    17.8178      2.17 
     18.106     2.124 
    18.3989     2.079 
    18.6964     2.036 
    18.9988     1.995 
    19.3061     1.954 
    19.6184     1.915 
    19.9357     1.868 
    20.2582     1.821 
    20.5858     1.776 
    20.9188     1.733 
    21.2571     1.693 
    21.6009     1.653 
    21.9503     1.615 
    22.3053     1.577 
    22.6661     1.541 
    23.0327     1.505 
    23.4053      1.47 
    23.7838     1.435 
    24.1685     1.402 
    24.5594     1.369 
    24.9566     1.338 
    25.3603     1.306 
    25.7705     1.276 
    26.1873     1.246 
    26.6109     1.217 
    27.0413     1.189 
    27.4786     1.161 
    27.9231     1.134 
    28.3747     1.108 
    28.8337     1.082 
       29.3     1.057 
    29.7739     1.034 
    30.2555     1.013 
    30.7449    0.9915 
    31.2421     0.971 
    31.7475    0.9508 
    32.2609    0.9311 
    32.7827    0.9118 
     33.313    0.8929 
    33.8518    0.8743 
    34.3993    0.8562 
    34.9557    0.8384 
    35.5211     0.821 
    36.0956     0.804 
    36.6794    0.7873 
    37.2727     0.771 
    37.8755     0.755 
    38.4882    0.7388 
    39.1107    0.7195 
    39.7432    0.7007 
    40.3861    0.6824 
    41.0393    0.6646 
    41.7031    0.6472 
    42.3776    0.6303 
     43.063    0.6138 
    43.7595    0.5978 
    44.4673    0.5822 
    45.1865     0.567 
    45.9174    0.5522 
      46.66    0.5377 
    47.4147    0.5237 
    48.1816      0.51 
    48.9609    0.4967 
    49.7528    0.4837 
    50.5576    0.4711 
    51.3753    0.4587 
    52.2062    0.4459 
    53.0506    0.4335 
    53.9087    0.4214 
    54.7806    0.4097 
    55.6667    0.3982 
     56.567    0.3871 
     57.482    0.3747 
    58.4117    0.3624 
    59.3564    0.3506 
    60.3165    0.3392 
    61.2921    0.3281 
    62.2834    0.3174 
    63.2908     0.307 
    64.3145     0.297 
    65.3547    0.2873 
    66.4118    0.2779 
    67.4859    0.2689 
    68.5775    0.2601 
    69.6867    0.2516 
    70.8138    0.2434 
    71.9591    0.2355 
     73.123    0.2278 
    74.3057    0.2203 
    75.5076    0.2131 
    76.7289    0.2062 
    77.9699    0.1995 
     79.231     0.193 
    80.5125    0.1867 
    81.8147    0.1806 
     83.138    0.1747 
    84.4827     0.169 
    85.8491    0.1635 
    87.2377    0.1581 
    88.6487    0.1529 
    90.0825    0.1466 
    91.5395    0.1405 
    93.0201    0.1346 
    94.5246    0.1291 
    96.0535    0.1237 
    97.6071    0.1186 
    99.1858    0.1136 
     100.79    0.1089 
     102.42    0.1044 
    104.077    0.1001 
     105.76    0.0959 
    107.471   0.09192 
    109.209    0.0881 
    110.975   0.08444 
      111.6    0.0832 
      111.8     1.744 
     112.77     1.786 
    114.594     1.866 
    116.448      1.95 
    118.331     2.038 
    120.245      2.13 
     122.19     2.226 
    124.166     2.327 
    126.175     2.382 
    128.215     2.434 
    130.289     2.419 
    132.397     2.369 
    134.538     2.066 
    136.714     1.787 
    138.925     1.624 
    141.172     1.549 
    143.456     1.496 
    145.776     1.445 
    148.134     1.397 
