this file is created by function void ElElasticScat::fill_hist_low_scat(void)
 format:
maximal number of interactions,
then loop by atoms:
Z of atom
ne energy_mesh[ne]  coef
dollar sign means starting of this format
$
94 40
1
0            1    0.0195574
1            2     0.014008
2            4   0.00957268
3            8   0.00639127
4           16   0.00405872
5           32   0.00251547
6           64    0.0015308
7          128  0.000931359
8          256  0.000557254
2
0            1    0.0264043
1            2    0.0211905
2            4    0.0157528
3            8    0.0108827
4           16   0.00739973
5           32   0.00477115
6           64   0.00296096
7          128   0.00180398
8          256   0.00103607
3
0            1    0.0100759
1            2   0.00763363
2            4   0.00568178
3            8   0.00407372
4           16   0.00282947
5           32   0.00188387
6           64   0.00125963
7          128  0.000831594
8          256  0.000592409
4
0            1    0.0127679
1            2   0.00972295
2            4   0.00713753
3            8   0.00499477
4           16   0.00337899
5           32   0.00223146
6           64    0.0014537
7          128  0.000951082
8          256  0.000651384
5
0            1    0.0157917
1            2    0.0117519
2            4   0.00844439
3            8   0.00586219
4           16   0.00390664
5           32   0.00255117
6           64    0.0016392
7          128   0.00105154
8          256  0.000685204
6
0            1    0.0190965
1            2    0.0139605
2            4   0.00971396
3            8   0.00666373
4           16   0.00439485
5           32   0.00284912
6           64   0.00181348
7          128   0.00114399
8          256  0.000705147
7
0            1    0.0214973
1            2    0.0162816
2            4    0.0113889
3            8   0.00784502
4           16   0.00526336
5           32    0.0034024
6           64   0.00215446
7          128   0.00135307
8          256  0.000832822
8
0            1    0.0234397
1            2    0.0183596
2            4    0.0132175
3            8   0.00914554
4           16   0.00613531
5           32   0.00399479
6           64   0.00252564
7          128    0.0015535
8          256  0.000958474
9
0            1     0.024952
1            2    0.0201012
2            4    0.0149244
3            8    0.0103851
4           16   0.00706364
5           32   0.00459679
6           64   0.00290232
7          128   0.00179628
8          256   0.00108589
10
0            1    0.0263908
1            2    0.0216189
2            4     0.016584
3            8    0.0116548
4           16   0.00796196
5           32   0.00521406
6           64   0.00331361
7          128   0.00205086
8          256   0.00122563
11
0            1    0.0195334
1            2    0.0162038
2            4    0.0127032
3            8   0.00933694
4           16   0.00653024
5           32   0.00434755
6           64   0.00279624
7          128   0.00174596
8          256   0.00107581
12
0            1    0.0161148
1            2    0.0131726
2            4    0.0104924
3            8    0.0079464
4           16   0.00564081
5           32   0.00380818
6           64   0.00247331
7          128   0.00155306
8          256  0.000972544
13
0            1    0.0139796
1            2    0.0112034
2            4   0.00922699
3            8   0.00702003
4           16   0.00506583
5           32   0.00343157
6           64   0.00226038
7          128   0.00143791
8          256  0.000917633
14
0            1    0.0145225
1            2    0.0114218
2            4   0.00907601
3            8    0.0069809
4           16   0.00503416
5           32   0.00343687
6           64   0.00226478
7          128    0.0014641
8          256  0.000925383
15
0            1    0.0155624
1            2    0.0121113
2            4   0.00957164
3            8   0.00726484
4           16   0.00524535
5           32   0.00359095
6           64   0.00237369
7          128   0.00151457
8          256  0.000956835
16
0            1    0.0164969
1            2    0.0129531
2            4     0.010031
3            8   0.00760767
4           16   0.00546792
5           32   0.00376856
6           64   0.00246737
7          128   0.00157136
8          256  0.000987257
17
0            1    0.0177473
1            2    0.0138814
2            4    0.0105816
3            8   0.00792138
4           16   0.00574239
5           32   0.00392301
6           64   0.00257554
7          128   0.00164884
8          256   0.00101421
18
0            1    0.0192885
1            2    0.0149282
2            4    0.0111457
3            8   0.00829771
4           16   0.00595356
5           32   0.00408303
6           64   0.00268082
7          128   0.00170662
8          256   0.00104428
19
0            1    0.0193987
1            2    0.0150653
2            4    0.0112644
3            8   0.00846044
