6116014	6331
6111022	19036
6111023	19298
6111024	19710
6138018	29880
6148039	36155
6149056	37267
6111022	38765
6111025	40157
6116052	47289
6130069	48878
6155027	57930
6155029	58128
6158020	58355
6111074	116
6114025	1935
6115042	3385
6115043	3644
6115043	3734
6116052	5265
6140003	8704
6140023	9006
6142020	9805
6143027	10839
6146025	12656
6148024	13663
6111023	17445
6115043	23811
6116017	24838
6135035	27590
6136037	27664
6149050	34932
6111025	38243
6111030	38793
6112023	40289
6114022	41310
6115035	42361
6130054	46580
6146025	52665
6151030	55606
6151030	55638
6155027	56107
6111023	57187
6116014	3563
6130070	6420
6140004	8153
6144027	10745
6148040	13761
6151030	14825
6155026	15065
6111074	19332
6114022	20431
6116011	23301
6116014	23582
6116050	24171
6121018	25200
6138019	27407
6111029	37555
6111030	38336
6112023	39619
6116053	44715
6121016	45196
6139022	47786
6142014	48727
6111022	56369
6112023	59484
6115041	8042
6115041	8119
6116016	9486
6130070	12001
6135013	12190
6142018	14368
6144066	16697
6111029	23153
6111029	23386
6126036	31060
6139012	33339
6143028	36079
6148021	38099
6111074	44747
6114025	46790
6115043	48502
6116012	48949
6143028	55974
6148026	217
6111029	4742
6111031	5536
6115038	9308
6122018	12466
6135013	13765
6139012	14697
6140003	15026
6142018	15857
6143028	17367
6146025	18893
6114024	27984
6115043	30037
6115043	30061
6120043	31938
6135013	33826
6144066	38125
6111030	45163
6111072	46029
6116011	50349
6116051	51320
6130064	53042
6135013	53659
6145039	58704
6148020	59298
6148021	59536
6111074	10758
6115035	13115
6115043	14426
6140067	19870
6143028	21739
6144066	22620
6146025	23466
6111024	28412
6111074	30713
6112024	31263
6115043	34469
6142020	40681
6148039	44942
6111022	47664
6111074	50752
6113077	51591
6115035	53031
6115035	53058
6116012	54884
6116012	54964
6141062	9506
6142063	10729
6143028	11371
6148021	13517
6149004	14870
6111030	19150
6111030	19152
6111046	19583
6115042	23662
6116015	24681
6148024	33944
6116052	45518
