6142020	5376
6148022	9108
6115043	19296
6116017	20353
6120049	21320
6148022	29008
6148039	29959
6148039	29978
6155026	31491
6155027	31530
6111025	33478
6111071	35142
6111072	35401
6148039	49768
6115036	58179
6143027	66403
6148039	69876
6111022	72610
6113081	76538
6126036	6520
6137167	8026
6142049	10474
6148020	13380
6148022	13709
6148040	14788
6111024	17982
6111074	20133
6142018	29897
6148020	33336
6114026	42322
6114026	42474
6116016	44930
6116051	45327
6146025	52933
6148024	53925
6148026	54227
6148026	54294
6111023	57520
6111029	58724
6112023	60481
6122002	66273
6122018	66328
6148064	1663
6151030	2718
6111025	5271
6116015	11618
6155026	22941
6111074	27119
6114023	28522
6115041	30124
6135013	34519
6138018	34991
6155027	43022
6115043	50866
6116053	52568
6138018	55094
6144027	58473
6111046	66357
6115043	70756
6115043	70778
6126036	73312
6130064	73815
6146025	79678
6131008	3538
6139026	4896
6139041	4918
6143027	7155
6158084	12913
6112026	17150
6114024	18194
6142025	26472
6148040	30830
6111022	32984
6115041	39554
6116053	41734
6135013	43856
6138018	44364
6145039	48797
6147029	49272
6148026	50350
6148026	50376
6115042	59860
6116015	60784
6138018	64211
6148039	70571
6111029	74837
6115038	79275
6155026	5003
6111023	6622
6111023	6744
6116015	13773
6120049	15151
6122018	15459
6137158	16989
6143028	20245
6148021	22589
6148024	23059
6114026	31459
6138019	37507
6141068	38580
6144023	40559
6111071	48963
6114022	50548
6114024	51121
6142020	59034
6111025	67127
6111025	67235
6111031	68455
6111074	69292
6112026	69946
6114026	71441
6138018	77285
6115038	1054
6115041	1392
6116017	2989
6138018	6152
6114024	19885
6139012	26693
6111074	38093
6111074	38268
6115041	41421
6130064	45017
6144066	50133
6144066	50133
6144067	50415
6113081	59201
6114024	59949
6114026	60367
6140033	67276
6142020	68145
6142027	68358
6143028	69304
6151030	1329
6111024	3428
6111029	4054
6114023	7277
6114025	7608
6142013	15170
6111023	23226
6112026	26396
6115038	28664
6130017	32195
6140020	34683
6142018	35263
6111022	42536
6111022	42634
6111030	44413
6144019	56945
6144027	57008
6155004	61380
6158015	61940
6111071	65441
6115042	69159
6143028	76854
6144027	77175
6114026	1260
6115035	1596
6149020	13881
6149055	14211
6111022	15876
6111022	15876
6111022	15951
6149017	33854
6149017	33854
6111074	39064
